City,Rape,,Custodial Rape,,Others,
AGRA,61,3.5,0,0,61,3.5
AHMEDABAD,60,0.9,0,0,60,0.9
ALLAHABAD,10,0.8,0,0,10,0.8
AMRITSAR,20,1.7,0,0,20,1.7
ASANSOL,31,2.5,0,0,31,2.5
AURANGABAD,16,1.3,0,0,16,1.3
BENGALURU,97,1.1,0,0,97,1.1
BHOPAL,100,5.3,0,0,100,5.3
CHANDIGARH(C),21,2,0,0,21,2
CHENNAI,76,0.9,0,0,76,0.9
COIMBATORE,9,0.4,0,0,9,0.4
DELHI (CITY),453,2.8,0,0,453,2.8
DHANBAD,10,0.8,0,0,10,0.8
DURG- BHIL AIN AGAR,61,5.7,0,0,61,5.7
FARID AB AD,54,3.8,0,0,54,3.8
GHAZIABAD,5,0.2,0,0,5,0.2
GWALIOR,48,4.4,0,0,48,4.4
HYDERABAD,59,0.8,0,0,59,0.8
INDORE,91,4.2,0,0,91,4.2
JABALPUR,64,5,0,0,64,5
JAIPUR,92,3,0,0,92,3
JAMSHEDPUR,18,1.3,0,0,18,1.3
JODHPUR,33,2.9,0,0,33,2.9
KANNUR,12,0.7,0,0,12,0.7
KANPUR,71,2.4,0,0,71,2.4
KOCHI,30,1.4,0,0,30,1.4
KOLKATA,46,0.3,0,0,46,0.3
KOLLAM,50,4.5,0,0,50,4.5
KOTA,24,2.4,0,0,24,2.4
KOZHIKODE,14,0.7,0,0,14,0.7
LUCKNOW,38,1.3,0,0,38,1.3
LUDHIANA,42,2.6,0,0,42,2.6
MADURAI,7,0.5,0,0,7,0.5
MALAPPURAM,16,0.9,0,0,16,0.9
MEERUT,23,1.6,0,0,23,1.6
MUMBAI,221,1.2,0,0,221,1.2
NAGPUR,45,1.8,0,0,45,1.8
NASIK,25,1.6,0,0,25,1.6
PATNA,27,1.3,0,0,27,1.3
PUNE,79,1.6,0,0,79,1.6
RAIPUR,24,2.1,0,0,24,2.1
RAJKOT,10,0.7,0,0,10,0.7
RANCHI,34,3,0,0,34,3
SRINAGAR,14,1.1,0,0,14,1.1
SURAT,36,0.8,0,0,36,0.8
THIRUVANANTHAPURAM,39,2.3,0,0,39,2.3
THRISSUR,28,1.5,0,0,28,1.5
TIRUCHIRAPALLI,6,0.4,0,0,6,0.4
VADODARA,9,0.5,0,0,9,0.5
VARANASI,5,0.3,0,0,5,0.3
VASAI VIRAR,21,1.7,0,0,21,1.7
VIJAYAWADA,37,2.5,0,0,37,2.5
VISHAKHAPATNAM TOTAL (CITIES),57 2579,3.3,0,0,57,3.3
