City,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",
AGRA,77,4.4,81,4.6,23,1.3
AHMEDABAD,90,1.4,49,0.8,7,0.1
ALLAHABAD,32,2.6,60,4.9,7,0.6
AMRITSAR,42,3.5,80,6.8,2,0.2
ASANSOL,60,4.8,25,2,9,0.7
AURANGABAD,46,3.9,55,4.6,5,0.4
BENGALURU,266,3.1,454,5.3,6,0.1
BHOPAL,52,2.8,72,3.8,0,0
CHANDIGARH (CITY),18,1.8,42,4.1,3,0.3
CHENNAI,180,2.1,219,2.5,4,0
COIMBATORE,29,1.3,37,1.7,0,0
DELHI (CITY),408,2.5,369,2.3,69,0.4
DHANBAD,17,1.4,10,0.8,4,0.3
DURG-BHILAINAGAR,40,3.8,39,3.7,1,0.1
FARIDABAD,72,5.1,50,3.6,6,0.4
GHAZIABAD,63,2.7,61,2.6,19,0.8
GWALIOR,51,4.6,116,10.5,17,1.5
HYDERABAD,102,1.3,166,2.1,6,0.1
INDORE,83,3.8,133,6.1,2,0.1
JABALPUR,48,3.8,101,8,1,0.1
JAIPUR,81,2.6,84,2.7,6,0.2
JAMSHEDPUR,27,2,16,1.2,3,0.2
JODHPUR,27,2.4,69,6.1,6,0.5
KANNUR,14,0.9,4,0.2,3,0.2
KANPUR,69,2.4,66,2.3,17,0.6
KOCHI,9,0.4,10,0.5,0,0
KOLKATA,85,0.6,154,1.1,29,0.2
KOLLAM,21,1.9,41,3.7,6,0.5
KOTA,28,2.8,68,6.8,1,0.1
KOZHIKODE,7,0.3,7,0.3,0,0
LUCKNOW,98,3.4,69,2.4,14,0.5
LUDHIANA,79,4.9,78,4.8,11,0.7
MADURAI,31,2.1,74,5.1,0,0
MALAPPURAM,0,0,5,0.3,1,0.1
MEERUT,61,4.3,97,6.8,12,0.8
MUMBAI,215,1.2,170,0.9,9,0
NAGPUR,88,3.5,85,3.4,15,0.6
NASIK,32,2,26,1.7,0,0
PATNA,224,10.9,45,2.2,5,0.2
PUNE,110,2.2,124,2.5,3,0.1
RAIPUR,37,3.3,37,3.3,1,0.1
RAJKOT,41,2.9,28,2,3,0.2
RANCHI,58,5.1,13,1.2,0,0
SRINAGAR,13,1,45,3.5,2,0.2
SURAT,98,2.1,26,0.6,1,0
THIRUVANANTHAPURAM,14,0.8,12,0.7,1,0.1
THRISSUR,9,0.5,14,0.8,11,0.6
TIRUCHIRAPALLI,26,2.5,22,2.2,0,0
VADODARA,29,1.6,34,1.9,0,0
VARANASI,31,2.2,33,2.3,6,0.4
VASAI VIRAR,31,2.5,17,1.4,2,0.2
VIJAYAWADA,42,2.8,56,3.8,6,0.4
VISHAKHAPATNAM,44,2.5,27,1.6,1,0.1
