City,Total Rape,,Custodial rape,I,Other rape,
AGRA,33,1.9,0,0,33,1.9
AHMEDABAD,63,1,0,0,63,1
ALLAHABAD,11,0.9,0,0,11,0.9
AMRITSAR,27,2.3,0,0,27,2.3
ASANSOL,36,2.9,0,0,36,2.9
AURANGABAD,23,1.9,0,0,23,1.9
BENGALURU,90,1.1,0,0,90,1.1
BHOPAL,114,6.1,0,0,114,6.1
CHANDIGARH (CITY),24,2.3,0,0,24,2.3
CHENNAI,94,1.1,0,0,94,1.1
COIMBATORE,20,0.9,0,0,20,0.9
DELHI (CITY),585,3.6,0,0,585,3.6
DHANBAD,13,1.1,0,0,13,1.1
DURG-BHILAINAGAR,70,6.6,0,0,70,6.6
FARIDABAD,47,3.3,0,0,47,3.3
GHAZIABAD,15,0.6,0,0,15,0.6
GWALIOR,60,5.4,0,0,60,5.4
HYDERABAD,74,1,0,0,74,1
INDORE,125,5.8,0,0,125,5.8
JABALPUR,87,6.9,0,0,87,6.9
JAIPUR,134,4.4,0,0,134,4.4
JAMSHEDPUR,26,1.9,0,0,26,1.9
JODHPUR,40,3.5,0,0,40,3.5
KANNUR,14,0.9,0,0,14,0.9
KANPUR,21,0.7,0,0,21,0.7
KOCHI,28,1.3,0,0,28,1.3
KOLKATA,68,0.5,0,0,68,0.5
KOLLAM,46,4.1,0,0,46,4.1
KOTA,45,4.5,0,0,45,4.5
KOZHIKODE,36,1.8,0,0,36,1.8
LUCKNOW,24,0.8,0,0,24,0.8
LUDHIANA,69,4.3,0,0,69,4.3
MADURAI,11,0.8,0,0,11,0.8
MALAPPURAM,11,0.6,0,0,11,0.6
MEERUT,22,1.5,0,0,22,1.5
MUMBAI,232,1.3,0,0,232,1.3
NAGPUR,57,2.3,0,0,57,2.3
NASIK,20,1.3,0,0,20,1.3
PATNA,35,1.7,0,0,35,1.7
PUNE,85,1.7,0,0,85,1.7
RAIPUR,64,5.7,0,0,64,5.7
RAJKOT,11,0.8,0,0,11,0.8
RANCHI,34,3,0,0,34,3
SRINAGAR,19,1.5,0,0,19,1.5
SURAT,40,0.9,0,0,40,0.9
THIRUVANANTHAPURAM,41,2.4,0,0,41,2.4
THRISSUR,35,1.9,0,0,35,1.9
TIRUCHIRAPALLI,7,0.7,0,0,7,0.7
VADODARA,11,0.6,0,0,11,0.6
VARANASI,11,0.8,0,0,11,0.8
VASAI VIRAR,20,1.6,0,0,20,1.6
VIJAYAWADA,47,3.2,0,0,47,3.2
VISHAKHAPATNAM,50,2.9,0,0,50,2.9
