City,Kidnapping Total,,Kidnapping of Women & Girls,,Kidnapping of Others,,Dacoity,
AGRA,208,11.9,166,9.5,42,2.4,8,0.5
AHMEDABAD,229,3.6,183,2.9,46,0.7,24,0.4
ALLAHABAD,60,4.9,52,4.3,8,0.7,2,0.2
AMRITSAR,52,4.4,45,3.8,7,0.6,2,0.2
ASANSOL,77,6.2,49,3.9,28,2.3,15,1.2
AURANGABAD,25,2.1,18,1.5,7,0.6,25,2.1
BENGALURU,532,6.3,433,5.1,99,1.2,37,0.4
BHOPAL,47,2.5,33,1.8,14,0.7,1,0.1
CHANDIGARH (CITY),76,7.4,57,5.6,19,1.9,3,0.3
CHENNAI,87,1,65,0.7,22,0.3,2,0
COIMBATORE,20,0.9,12,0.6,8,0.4,2,0.1
DELHI (CITY),3274,20.1,1787,11,1487,9.1,23,0.1
DHANBAD,49,4.1,40,3.3,9,0.8,7,0.6
DURG-BHILAINAGAR,43,4,35,3.3,8,0.8,1,0.1
FARIDABAD,103,7.3,87,6.2,16,1.1,10,0.7
GHAZIABAD,151,6.4,130,5.5,21,0.9,2,0.1
GWALIOR,63,5.7,56,5.1,7,0.6,3,0.3
HYDERABAD,88,1.1,31,0.4,57,0.7,12,0.2
INDORE,48,2.2,38,1.8,10,0.5,4,0.2
JABALPUR,27,2.1,25,2,2,0.2,0,0
JAIPUR,225,7.3,191,6.2,34,1.1,5,0.2
JAMSHEDPUR,74,5.5,69,5.2,5,0.4,4,0.3
JODHPUR,44,3.9,36,3.2,8,0.7,0,0
KANNUR,6,0.4,5,0.3,1,0.1,4,0.2
KANPUR,182,6.2,159,5.4,23,0.8,2,0.1
KOCHI,6,0.3,5,0.2,1,0,5,0.2
KOLKATA,271,1.9,210,1.5,61,0.4,8,0.1
KOLLAM,21,1.9,18,1.6,3,0.3,3,0.3
KOTA,82,8.2,62,6.2,20,2,0,0
KOZHIKODE,5,0.2,3,0.1,2,0.1,2,0.1
LUCKNOW,214,7.4,203,7,11,0.4,6,0.2
LUDHIANA,123,7.6,99,6.1,24,1.5,2,0.1
MADURAI,65,4.4,51,3.5,14,1,2,0.1
MALAPPURAM,3,0.2,0,0,3,0.2,0,0
MEERUT,113,7.9,85,6,28,2,8,0.6
MUMBAI,212,1.2,141,0.8,71,0.4,29,0.2
NAGPUR,53,2.1,39,1.6,14,0.6,13,0.5
NASIK,18,1.2,13,0.8,5,0.3,14,0.9
PATNA,290,14.2,244,11.9,46,2.2,29,1.4
PUNE,109,2.2,77,1.5,32,0.6,35,0.7
RAIPUR,17,1.5,11,1,6,0.5,1,0.1
RAJKOT,66,4.7,50,3.6,16,1.2,14,1
RANCHI,86,7.6,80,7.1,6,0.5,16,1.4
SRINAGAR,100,7.9,89,7,11,0.9,0,0
SURAT,91,2,66,1.4,25,0.5,6,0.1
THIRUVANANTHAPURAM,23,1.4,16,0.9,7,0.4,4,0.2
THRISSUR,13,0.7,9,0.5,4,0.2,1,0.1
TIRUCHIRAPALLI,22,2.2,13,1.3,9,0.9,0,0
VADODARA,67,3.7,57,3.1,10,0.6,9,0.5
VARANASI,54,3.8,45,3.1,9,0.6,0,0
VASAI VIRAR,26,2.1,17,1.4,9,0.7,11,0.9
VIJAYAWADA,66,4.4,39,2.6,27,1.8,1,0.1
VISHAKHAPATNAM,27,1.6,20,1.2,7,0.4,14,0.8
