City,Total Rape,,Custodial rape,,Others,
AGRA,39,4.9,0,0,39,4.9
AHMEDABAD,116,3.9,0,0,116,3.9
ALLAHABAD,26,4.6,0,0,26,4.6
AMRITSAR,29,5.2,0,0,29,5.2
ASANSOL,31,5.2,0,0,31,5.2
AURANGABAD,22,3.9,0,0,22,3.9
BENGALURU,80,2,0,0,80,2
BHOPAL,131,14.6,0,0,131,14.6
CHANDIGARH (CITY),39,8.4,0,0,39,8.4
CHENNAI,83,1.9,0,0,83,1.9
COIMBATORE,17,1.6,0,0,17,1.6
DELHI (CITY),1441,19,0,0,1441,19
DHANBAD,14,2.5,0,0,14,2.5
DURG-BHILAINAGAR,81,15.6,0,0,81,15.6
FARIDABAD,65,9.9,0,0,65,9.9
GHAZIABAD,51,4.6,0,0,51,4.6
GWALIOR,117,22.8,0,0,117,22.8
HYDERABAD,101,2.7,0,0,101,2.7
INDORE,133,12.8,0,0,133,12.8
JABALPUR,115,19,0,0,115,19
JAIPUR,192,13.2,0,0,192,13.2
JAMSHEDPUR,49,7.7,0,0,49,7.7
JODHPUR,70,13,0,0,70,13
KANNUR,7,0.8,0,0,7,0.8
KANPUR,16,1.2,0,0,16,1.2
KOCHI,40,3.7,0,0,40,3.7
KOLKATA,75,1.1,0,0,75,1.1
KOLLAM,64,11,0,0,64,11
KOTA,86,18.2,0,0,86,18.2
KOZHIKODE,30,2.8,0,0,30,2.8
LUCKNOW,55,4,0,0,55,4
LUDHIANA,109,14.8,0,0,109,14.8
MADURAI,16,2.2,0,0,16,2.2
MALAPPURAM,16,1.8,0,0,16,1.8
MEERUT,62,9.3,0,0,62,9.3
MUMBAI,391,4.6,0,0,391,4.6
NAGPUR,91,7.5,0,0,91,7.5
NASIK,20,2.7,0,0,20,2.7
PATNA,57,6,0,0,57,6
PUNE,171,7.2,0,0,171,7.2
RAIPUR,85,15.6,0,0,85,15.6
RAJKOT,14,2.1,0,0,14,2.1
RANCHI,45,8.3,0,0,45,8.3
SRINAGAR,22,3.7,0,0,22,3.7
SURAT,76,3.9,0,0,76,3.9
THIRUVANANTHAPURAM,54,6.2,0,0,54,6.2
THRISSUR,28,2.9,0,0,28,2.9
TIRUCHIRAPALLI,10,1.9,0,0,10,1.9
VADODARA,19,2.2,0,0,19,2.2
VARANASI,29,4.3,0,0,29,4.3
VASAI VIRAR,55,9.6,0,0,55,9.6
VIJAYAWADA,48,6.5,0,0,48,6.5
VISHAKHAPATNAM,67,7.8,0,0,67,7.8
