City,Preparation & Assembly for Dacoity,,Robbery,,Burglary,
AGRA,0,0,127,7.3,249,14.3
AHMEDABAD,1,0,582,9.2,674,10.6
ALLAHABAD,1,0.1,27,2.2,166,13.6
AMRITSAR,5,0.4,6,0.5,102,8.6
ASANSOL,49,3.9,38,3.1,22,1.8
AURANGABAD,4,0.3,166,14,295,24.8
BENGALURU,425,5,619,7.3,1404,16.5
BHOPAL,3,0.2,187,9.9,755,40.1
CHANDIGARH (CITY),1,0.1,56,5.5,248,24.2
CHENNAI,0,0,81,0.9,467,5.4
COIMBATORE,0,0,114,5.3,122,5.7
DELHI (CITY),3,0,1103,6.8,2395,14.7
DHANBAD,1,0.1,12,1,61,5.1
DURG-BHILAINAGAR,0,0,38,3.6,369,34.7
FARID AB AD,7,0.5,34,2.4,392,27.9
GHAZIABAD,8,0.3,61,2.6,145,6.1
GWALIOR,64,5.8,107,9.7,649,58.9
HYDERABAD,0,0,47,0.6,658,8.5
INDORE,2,0.1,199,9.2,1261,58.2
JABALPUR,8,0.6,89,7,357,28.2
JAIPUR,1,0,383,12.5,1238,40.3
JAMSHEDPUR,3,0.2,41,3.1,132,9.9
JODHPUR,1,0.1,89,7.8,304,26.7
KANNUR,0,0,20,1.2,44,2.7
KANPUR,8,0.3,43,1.5,110,3.8
KOCHI,20,0.9,39,1.8,88,4.2
KOLKATA,30,0.2,42,0.3,82,0.6
KOLLAM,40,3.6,66,5.9,117,10.5
KOTA,9,0.9,19,1.9,112,11.2
KOZHIKODE,7,0.3,43,2.1,108,5.3
LUCKNOW,1,0,45,1.6,501,17.3
LUDHIANA,11,0.7,10,0.6,198,12.3
MADURAI,1,0.1,102,7,57,3.9
MALAPPURAM,0,0,7,0.4,48,2.8
MEERUT,1,0.1,188,13.2,177,12.4
MUMBAI,19,0.1,2757,15,2936,15.9
NAGPUR,21,0.8,492,19.7,1159,46.4
NASIK,19,1.2,145,9.3,279,17.9
PATNA,0,0,158,7.7,505,24.7
PUNE,40,0.8,866,17.1,1195,23.7
RAIPUR,0,0,42,3.7,416,37
RAJKOT,0,0,41,2.9,252,18.1
RANCHI,1,0.1,42,3.7,189,16.8
SRINAGAR,0,0,30,2.4,232,18.2
SURAT,3,0.1,56,1.2,364,7.9
THIRUVANANTHAPURAM,74,4.4,73,4.3,106,6.3
THRISSUR,2,0.1,21,1.1,75,4
TIRUCHIRAPALLI,0,0,44,4.3,44,4.3
VADODARA,1,0.1,151,8.3,422,23.2
VARANASI,2,0.1,41,2.9,126,00 00
VASAI VIRAR,3,0.2,174,14.3,392,32.1
VIJAYAWADA,0,0,66,4.4,323,21.7
VISHAKHAPATNAM,0,0,26,1.5,355,20.5
