City,Total Theft,,Auto Theft,,Other Theft,,Riots,
AGRA,2528,144.8,2040,116.8,488,27.9,227,13
AHMEDABAD,3449,54.3,2091,32.9,1358,21.4,151,2.4
ALLAHABAD,1235,101.5,918,75.4,317,26,44,3.6
AMRITSAR,259,21.9,99,8.4,160,13.5,0,0
ASANSOL,733,59,247,19.9,486,39.1,262,21.1
AURANGABAD,1184,99.6,619,52.1,565,47.5,181,15.2
BENGALURU,10643,125.2,5356,63,5287,62.2,362,4.3
BHOPAL,2278,121,1484,78.8,794,42.2,65,3.5
CHANDIGARH (CITY),1473,143.6,851,82.9,622,60.6,53,5.2
CHENNAI,1664,19.1,292,3.4,1372,15.8,97,1.1
COIMBATORE,407,18.9,127,5.9,280,13,12,0.6
DELHI (CITY),27982,171.5,13839,84.8,14143,86.7,106,0.6
DHANBAD,342,28.6,227,19,115,9.6,52,4.4
DURG-BHILAINAGAR,648,60.9,303,28.5,345,32.4,26,2.4
FARIDAB AD,1763,125.5,1495,106.4,268,19.1,183,13
GHAZIABAD,2435,103.2,1882,79.8,553,23.4,32,1.4
GWALIOR,1539,139.7,1197,108.6,342,31,52,4.7
HYDERABAD,4166,53.8,1353,17.5,2813,36.3,118,1.5
INDORE,5242,241.9,3934,181.5,1308,60.4,43,2
JABALPUR,680,53.6,389,30.7,291,22.9,41,3.2
JAIPUR,7162,233.1,5818,189.3,1344,43.7,101,3.3
JAMSHEDPUR,816,61,334,25,482,36.1,95,7.1
JODHPUR,1227,107.8,812,71.4,415,36.5,0,0
KANNUR,43,2.6,20,1.2,23,1.4,253,15.4
KANPUR,798,27.3,622,21.3,176,6,52,1.8
KOCHI,307,14.5,103,4.9,204,9.6,332,15.7
KOLKATA,4910,34.8,680,4.8,4230,30,362,2.6
KOLLAM,150,13.5,55,5,95,8.6,311,28
KOTA,840,83.9,612,61.1,228,22.8,0,0
KOZHIKODE,194,9.6,107,5.3,87,4.3,336,16.5
LUCKNOW,2440,84.1,1643,56.6,797,27.5,107,3.7
LUDHIANA,495,30.7,243,15.1,252,15.6,0,0
MADURAI,425,29.1,220,15,205,14,36,2.5
MALAPPURAM,57,3.4,23,1.4,34,2,218,12.8
MEERUT,2104,147.6,1595,111.9,509,35.7,121,8.5
MUMBAI,10561,57.4,3789,20.6,6772,36.8,385,2.1
NAGPUR,2764,110.6,1430,57.2,1334,53.4,207,8.3
NASIK,905,57.9,489,31.3,416,26.6,93,6
PATNA,3212,156.9,1671,81.6,1541,75.3,337,16.5
PUNE,4091,81,2400,47.5,1691,33.5,496,9.8
RAIPUR,1167,103.9,701,62.4,466,41.5,43,3.8
RAJKOT,853,61.3,633,45.5,220,15.8,69,5
RANCHI,1432,127.1,1113,98.8,319,28.3,65,5.8
SRINAGAR,333,26.2,206,16.2,127,10,115,9
SURAT,1570,34.2,941,20.5,629,13.7,59,1.3
THIRUVANANTHAPURAM,272,16.1,83,4.9,189,11.2,565,33.5
THRISSUR,157,8.5,27,1.5,130,7,384,20.7
TIRUCHIRAPALLI,233,22.8,43,4.2,190,18.6,2,0.2
VADODARA,1221,67.2,849,46.7,372,20.5,93,5.1
VARANASI,789,55,545,38,244,17,41,2.9
VASAI VIRAR,694,56.8,359,29.4,335,27.4,79,6.5
VIJAYAWADA,2173,145.7,783,52.5,1390,93.2,6,0.4
VISHAKHAPATNAM,1203,69.5,332,19.2,871,50.3,9,0.5
