City,Criminal Breach of Trust,,Cheating,,Counterfeiting,,Arson,
AGRA,131,7.5,330,18.9,12,0.7,2,0.1
AHMEDABAD,227,3.6,255,4,24,0.4,24,0.4
ALLAHABAD,51,4.2,264,21.7,9,0.7,4,0.3
AMRITSAR,17,1.4,255,21.5,2,0.2,3,0.3
ASANSOL,98,7.9,138,11.1,4,0.3,3,0.2
AURANGABAD,19,1.6,238,20,3,0.3,29,2.4
BENGALURU,133,1.6,2987,35.1,33,0.4,16,0.2
BHOPAL,22,1.2,153,8.1,6,0.3,16,0.8
CHANDIGARH (CITY),24,2.3,274,26.7,1,0.1,8,0.8
CHENNAI,13,0.1,492,5.7,148,1.7,22,0.3
COIMBATORE,14,0.7,165,7.7,31,1.4,16,0.7
DELHI (CITY),356,2.2,2611,16,66,0.4,85,0.5
DHANBAD,33,2.8,56,4.7,0,0,1,0.1
DURG-BHILAINAGAR,10,0.9,128,12,2,0.2,26,2.4
FARID AB AD,170,12.1,53,3.8,2,0.1,4,0.3
GHAZIABAD,65,2.8,290,12.3,9,0.4,0,0
GWALIOR,34,3.1,94,8.5,1,0.1,12,1.1
HYDERABAD,75,1,2382,30.7,47,0.6,62,0.8
INDORE,25,1.2,135,6.2,8,0.4,46,2.1
JABALPUR,13,1,111,8.8,0,0,11,0.9
JAIPUR,297,9.7,3900,126.9,6,0.2,30,1
JAMSHEDPUR,135,10.1,478,35.8,1,0.1,2,0.1
JODHPUR,12,1.1,858,75.4,0,0,27,2.4
KANNUR,3,0.2,66,4,12,0.7,33,2
KANPUR,116,4,283,9.7,5,0.2,2,0.1
KOCHI,25,1.2,521,24.6,1,0,5,0.2
KOLKATA,337,2.4,2052,14.5,28,0.2,0,0
KOLLAM,8,0.7,154,13.9,4,0.4,17,1.5
KOTA,9,0.9,905,90.4,1,0.1,4,0.4
KOZHIKODE,17,0.8,149,7.3,2,0.1,13,0.6
LUCKNOW,513,17.7,976,33.6,8,0.3,4,0.1
LUDHIANA,46,2.9,305,18.9,1,0.1,2,0.1
MADURAI,5,0.3,263,18,24,1.6,11,0.8
MALAPPURAM,2,0.1,107,6.3,0,0,6,0.4
MEERUT,57,4,277,19.4,6,0.4,9,0.6
MUMBAI,697,3.8,2134,11.6,48,0.3,47,0.3
NAGPUR,69,2.8,268,10.7,3,0.1,26,1
NASIK,32,2,154,9.9,24,1.5,7,0.4
PATNA,9,0.4,795,38.8,16,0.8,1,0
PUNE,67,1.3,943,18.7,26,0.5,34,0.7
RAIPUR,22,2,202,18,10,0.9,44,3.9
RAJKOT,93,6.7,24,1.7,7,0.5,21,1.5
RANCHI,36,3.2,262,23.2,0,0,7,0.6
SRINAGAR,19,1.5,97,7.6,2,0.2,25,2
SURAT,25,0.5,187,4.1,10,0.2,6,0.1
THIRUVANANTHAPURAM,21,1.2,240,14.2,0,0,6,0.4
THRISSUR,14,0.8,352,19,0,0,8,0.4
TIRUCHIRAPALLI,0,0,90,8.8,5,0.5,2,0.2
VADODARA,20,1.1,194,10.7,3,0.2,8,0.4
VARANASI,175,12.2,419,29.2,21,1.5,0,0
VASAI VIRAR,16,1.3,224,18.3,2,0.2,5,0.4
VIJAYAWADA,124,8.3,459,30.8,6,0.4,24,1.6
VISHAKHAPATNAM,64,3.7,336,19.4,1,0.1,21,1.2
