City,Hurt,,Dowry Deaths,,Assault on Women with intent to outrage her modesty,,Insult to the modesty of women,
AGRA,105,6,48,6,167,20.8,0,0
AHMEDABAD,1342,21.1,20,0.7,180,6,8,0.3
ALLAHABAD,27,2.2,15,2.7,92,16.4,0,0
AMRITSAR,157,13.3,4,0.7,53,9.6,4,0.7
ASANSOL,168,13.5,15,2.5,73,12.3,1,0.2
AURANGABAD,500,42.1,5,0.9,173,30.4,38,6.7
BENGALURU,3132,36.9,52,1.3,378,9.3,73,1.8
BHOPAL,29,1.5,14,1.6,307,34.2,42,4.7
CHANDIGARH (CITY),51,5,1,0.2,136,29.4,25,5.4
CHENNAI,1213,13.9,12,0.3,55,1.3,155,3.6
COIMBATORE,230,10.7,1,0.1,15,1.4,4,0.4
DELHI (CITY),1607,9.8,125,1.7,3069,40.5,807,10.7
DHANBAD,58,4.9,8,1.4,9,1.6,0,0
DURG-BHILAINAGAR,114,10.7,7,1.4,180,34.7,17,3.3
FARID AB AD,135,9.6,22,3.4,90,13.8,56,8.6
GHAZIABAD,34,1.4,25,2.3,124,11.3,0,0
GWALIOR,422,38.3,23,4.5,262,51.1,45,8.8
HYDERABAD,3092,39.9,39,1,225,6,90,2.4
INDORE,1042,48.1,20,1.9,251,24.2,54,5.2
JABALPUR,2314,182.5,18,3,194,32.1,21,3.5
JAIPUR,784,25.5,21,1.4,283,19.5,0,0
JAMSHEDPUR,771,57.7,10,1.6,52,8.1,2,0.3
JODHPUR,858,75.4,7,1.3,141,26.2,0,0
KANNUR,283,17.2,0,0,58,6.6,5,0.6
KANPUR,78,2.7,27,2,59,4.4,0,0
KOCHI,462,21.8,0,0,168,15.6,23,2.1
KOLKATA,3496,24.8,15,0.2,707,10.4,412,6.1
KOLLAM,962,86.7,1,0.2,198,34.1,17,2.9
KOTA,84,8.4,6,1.3,101,21.4,5,1.1
KOZHIKODE,592,29.1,0,0,110,10.3,44,4.1
LUCKNOW,34,1.2,39,2.8,261,18.9,1,0.1
LUDHIANA,193,12,13,1.8,81,11,21,2.8
MADURAI,198,13.5,3,0.4,23,3.2,2,0.3
MALAPPURAM,166,9.8,0,0,49,5.5,3,0.3
MEERUT,13,0.9,16,2.4,151,22.5,0,0
MUMBAI,3922,21.3,21,0.3,1163,13.7,444,5.2
NAGPUR,1012,40.5,4,0.3,209,17.1,52,4.3
NASIK,248,15.9,7,1,96,13,9,1.2
PATNA,1215,59.4,61,6.4,15,1.6,2,0.2
PUNE,1018,20.2,9,0.4,304,12.7,128,5.4
RAIPUR,1696,151,8,1.5,171,31.4,19,3.5
RAJKOT,386,27.7,1,0.2,18,2.7,4,0.6
RANCHI,402,35.7,6,1.1,11,2,6,1.1
SRINAGAR,16,1.3,0,0,266,44.6,90,15.1
SURAT,386,8.4,2,0.1,91,4.6,0,0
THIRUVANANTHAPURAM,989,58.6,1,0.1,299,34.3,33,3.8
THRISSUR,310,16.7,1,0.1,85,8.7,17,1.7
TIRUCHIRAPALLI,162,15.9,0,0,18,3.5,6,1.2
VADODARA,367,20.2,0,0,107,12.3,7,0.8
VARANASI,95,6.6,17,2.5,121,18,3,0.5
VASAI VIRAR,260,21.3,3,0.5,66,11.5,24,4.2
VIJAYAWADA,1955,131.1,12,1.6,249,33.6,456,61.6
VISHAKHAPATNAM,1356,78.4,8,0.9,149,17.4,100,11.7
