City,Cruelty by Husband or his Relatives (Sec. 498A IPC),,Importation of Girls from Foreign Country (Sec. 366B IPC),,Causing Death by Negligence (Sec. 304A IPC),,Other IPC Crimes,,Total Cognizable Crimes Under IPC,
AGRA,361,44.9,0,0,193,11.1,1394,79.8,6375,365.1
AHMEDABAD,1756,58.5,0,0,268,4.2,11541,181.7,21258,334.7
ALLAHABAD,156,27.8,0,0,76,6.2,1480,121.6,3895,320
AMRITSAR,101,18.2,0,0,78,6.6,436,36.8,1652,139.5
ASANSOL,467,78.5,0,0,201,16.2,2232,179.6,4785,385
AURANGABAD,151,26.5,0,0,157,13.2,716,60.2,4033,339.2
BENGALURU,482,11.9,0,0,160,1.9,7972,93.8,30318,356.7
BHOPAL,307,34.2,0,0,188,10,6563,348.5,11274,598.7
CHANDIGARH (CITY),88,19,0,0,6,0.6,1121,109.3,3921,382.2
CHENNAI,221,5.1,0,0,1240,14.3,11315,130.1,17747,204.1
COIMBATORE,48,4.5,0,0,291,13.5,16367,760.9,17945,834.3
DELHI (CITY),2879,38,0,0,1590,9.7,19445,119.2,72090,441.9
DHANBAD,21,3.7,0,0,0,0,932,78,1688,141.3
DURG-BHILAINAGAR,141,27.2,0,0,194,18.2,3605,338.8,5747,540.1
FARID AB AD,255,39,0,0,221,15.7,1529,108.8,5264,374.7
GHAZIABAD,476,43.2,0,0,237,10,2164,91.7,6487,275
GWALIOR,352,68.6,0,0,123,11.2,3770,342.1,7886,715.6
HYDERABAD,1480,39.3,0,0,527,6.8,2839,36.6,16355,211.1
INDORE,248,23.9,0,0,282,13,7973,367.9,17551,809.9
JABALPUR,113,18.7,0,0,134,10.6,2522,198.9,6996,551.7
JAIPUR,1110,76.3,0,0,731,23.8,7009,228.1,23988,780.6
JAMSHEDPUR,132,20.6,0,0,5,0.4,1104,82.6,3961,296.3
JODHPUR,373,69.3,0,0,257,22.6,1293,113.6,5807,510.3
KANNUR,98,11.1,0,0,0,0,1077,65.6,2024,123.2
KANPUR,225,16.9,0,0,189,6.5,1980,67.8,4226,144.7
KOCHI,128,11.9,0,0,2,0.1,11271,532.2,13476,636.3
KOLKATA,1005,14.8,9,0.1,449,3.2,11865,84.1,26319,186.5
KOLLAM,304,52.4,0,0,204,18.4,5071,456.8,7769,699.9
KOTA,512,108.6,0,0,105,10.5,1774,177.2,4872,486.7
KOZHIKODE,136,12.8,0,0,1,0,2136,105.2,3959,194.9
LUCKNOW,802,58,0,0,293,10.1,5101,175.8,11668,402.2
LUDHIANA,140,18.9,0,0,247,15.3,1025,63.5,3194,197.9
MADURAI,91,12.5,0,0,144,9.8,1504,102.9,3031,207.3
MALAPPURAM,101,11.4,0,0,2,0.1,1340,78.9,2132,125.5
MEERUT,0,0,0,0,176,12.4,1445,101.4,5251,368.5
MUMBAI,602,7.1,0,0,586,3.2,7337,39.8,34840,189.2
NAGPUR,218,17.8,0,0,321,12.9,2182,87.3,9426,377.3
NASIK,181,24.5,0,0,127,8.1,1954,125,4401,281.6
PATNA,372,38.8,0,0,295,14.4,6577,321.3,14387,702.8
PUNE,344,14.4,0,0,533,10.6,2421,47.9,13159,260.6
RAIPUR,145,26.6,0,0,168,15,1847,164.5,6466,575.8
RAJKOT,254,38.5,0,0,119,8.6,1284,92.3,3572,256.8
RANCHI,52,9.6,0,0,197,17.5,1035,91.8,3936,349.2
SRINAGAR,72,12.1,0,0,59,4.6,1264,99.3,2792,219.3
SURAT,491,24.9,0,0,213,4.6,20310,443,24307,530.1
THIRUVANANTHAPURAM,153,17.5,0,0,2,0.1,7202,426.9,10135,600.8
THRISSUR,125,12.8,0,0,4,0.2,4860,262,6477,349.2
TIRUCHIRAPALLI,25,4.9,0,0,127,12.4,1958,191.6,2783,272.3
VADODARA,417,47.9,0,0,175,9.6,9433,519.2,12786,703.7
VARANASI,233,34.6,0,0,70,4.9,920,64.1,3311,230.7
VASAI VIRAR,76,13.3,0,0,175,14.3,201,16.5,2549,208.8
VIJAYAWADA,1227,165.7,0,0,325,21.8,1359,91.1,8978,602.1
VISHAKHAPATNAM,548,64.1,0,0,379,21.9,2009,116.1,6775,391.6
