Cities,Murder,,Attempt To Commit Murder,,C.H. Not Amounting To Murder,,Attempt to commit C.H. Not Amounting To Murder,
Agra,78,4.5,88,5,17,1,71,4.1
Ahmedabad,82,1.3,61,1,6,0.1,0,0
Allahabad,33,2.7,59,4.8,8,0.7,0,0
Amritsar,29,2.4,75,6.3,2,0.2,3,0.3
Asansol,48,3.9,164,13.2,10,0.8,0,0
Aurangabad,35,2.9,54,4.5,0,0,0,0
Bengaluru,241,2.8,489,5.8,21,0.2,0,0
Bhopal,52,2.8,96,5.1,2,0.1,3,0.2
Chandigarh City,21,2,30,2.9,6,0.6,4,0.4
Chennai,161,1.9,225,2.6,0,0,0,0
Coimbatore,21,1,43,2,1,0,0,0
Delhi (City),472,2.9,675,4.1,49,0.3,886,5.4
Dhanbad,17,1.4,10,0.8,4,0.3,0,0
Durg-Bhilainagar,40,3.8,34,3.2,0,0,0,0
Faridabad,64,4.6,41,2.9,3,0.2,0,0
Ghaziabad,73,3.1,61,2.6,20,0.8,0,0
Gwalior,41,3.7,81,7.4,12,1.1,4,0.4
Flyderabad,118,1.5,163,2.1,6,0.1,0,0
Indore,88,4.1,183,8.4,0,0,3,0.1
Jabalpur,57,4.5,93,7.3,1,0.1,1,0.1
Jaipur,108,3.5,107,3.5,6,0.2,0,0
Jamshedpur,51,3.8,33,2.5,3,0.2,0,0
Jodhpur,41,3.6,86,7.6,5,0.4,5,0.4
Kannur,2,0.1,8,0.5,4,0.2,19,1.2
Kanpur,56,1.9,47,1.6,11,0.4,16,0.5
Kochi,13,0.6,29,1.4,2,0.1,2,0.1
Kolkata,74,0.5,101,0.7,26,0.2,0,0
Kollam,10,0.9,34,3.1,4,0.4,54,4.9
Kota,19,1.9,93,9.3,1,0.1,19,1.9
Kozhikode,8,0.4,13,0.6,2,0.1,34,1.7
Lucknow,107,3.7,67,2.3,17,0.6,17,0.6
Ludhiana,73,4.5,68,4.2,8,0.5,0,0
Madurai,33,2.3,51,3.5,1,0.1,0,0
Malappuram,3,0.2,11,0.6,2,0.1,1,0.1
Meerut,93,6.5,129,9.1,11,0.8,12,0.8
Mumbai,183,1,181,1,4,0,1,0
Nagpur,103,4.1,92,3.7,5,0.2,0,0
Nasik,26,1.7,30,1.9,0,0,0,0
Patna,205,10,16,0.8,2,0.1,0,0
Pune,138,2.7,181,3.6,9,0.2,0,0
Raipur,29,2.6,71,6.3,2,0.2,0,0
Rajkot,43,3.1,43,3.1,2,0.1,0,0
Ranchi,61,5.4,75,6.7,0,0,0,0
Srinagar,5,0.4,34,2.7,4,0.3,0,0
Surat,85,1.9,41,0.9,8,0.2,0,0
Thiruvananthapuram,13,0.8,23,1.4,2,0.1,131,7.8
Thrissur,17,0.9,17,0.9,2,0.1,31,1.7
Tiruch irapalli,24,2.3,9,0.9,0,0,0,0
Vadodara,23,1.3,37,2,0,0,3,0.2
Varanasi,24,1.7,32,2.2,12,0.8,0,0
Vasai Virar,36,2.9,17,1.4,6,0.5,0,0
Vijayawada,23,1.5,45,3,1,0.1,1,0.1
Vishakhapatnam,38,2.2,57,3.3,0,0,0,0
