City,Total Rape,,Custodial,,Gang Rape,,Other Rape,
Agra,38,4.7,0,0,0,0,0,0
Ahmedabad,100,3.3,0,0,0,0,0,0
Allahabad,20,3.6,0,0,0,0,0,0
Amritsar,34,6.1,0,0,0,0,0,0
Asansol,16,2.7,0,0,0,0,0,0
Aurangabad,27,4.7,0,0,0,0,0,0
Bengaluru,104,2.6,0,0,0,0,0,0
Bhopal,178,19.8,0,0,0,0,0,0
Chandigarh City,51,11,0,0,0,0,0,0
Chennai,65,1.5,0,0,0,0,0,0
Coimbatore,5,0.5,0,0,0,0,0,0
Delhi (City),1813,23.9,0,0,0,0,0,0
Dhanbad,13,2.3,0,0,0,0,0,0
Durg-Bhilainagar,53,10.2,0,0,0,0,0,0
Faridabad,101,15.4,0,0,0,0,0,0
Ghaziabad,75,6.8,0,0,0,0,0,0
Gwalior,106,20.7,0,0,0,0,0,0
Flyderabad,126,3.3,0,0,0,0,0,0
Indore,185,17.8,0,0,0,0,0,0
Jabalpur,113,18.7,0,0,0,0,0,0
Jaipur,263,18.1,0,0,0,0,0,0
Jamshedpur,36,5.6,0,0,0,0,0,0
Jodhpur,68,12.6,0,0,0,0,0,0
Kannur,17,1.9,0,0,0,0,0,0
Kanpur,19,1.4,0,0,0,0,0,0
Kochi,64,6,0,0,0,0,0,0
Kolkata,36,0.5,0,0,0,0,0,0
Kollam,78,13.4,0,0,0,0,0,0
Kota,100,21.2,0,0,0,0,0,0
Kozhikode,35,3.3,0,0,0,0,0,0
Lucknow,52,3.8,0,0,0,0,0,0
Ludhiana,111,15,0,0,0,0,0,0
Madurai,6,0.8,0,0,0,0,0,0
Malappuram,10,1.1,0,0,0,0,0,0
Meerut,40,6,0,0,0,0,0,0
Mumbai,607,7.1,0,0,0,0,0,0
Nagpur,113,9.2,0,0,0,0,0,0
Nasik,28,3.8,0,0,0,0,0,0
Patna,54,5.6,0,0,0,0,0,0
Pune,189,7.9,0,0,0,0,0,0
Raipur,88,16.2,0,0,0,0,0,0
Rajkot,17,2.6,0,0,0,0,0,0
Ranchi,46,8.5,0,0,0,0,0,0
Srinagar,12,2,0,0,0,0,0,0
Surat,94,4.8,0,0,0,0,0,0
Thiruvananthapuram,56,6.4,0,0,0,0,0,0
Thrissur,38,3.9,0,0,0,0,0,0
Tiruch irapalli,3,0.6,0,0,0,0,0,0
Vadodara,23,2.6,0,0,0,0,0,0
Varanasi,27,4,0,0,0,0,0,0
Vasai Virar,60,10.5,0,0,0,0,0,0
Vijayawada,64,8.6,0,0,0,0,0,0
Vishakhapatnam,84,9.8,0,0,0,0,0,0
