,Total Rape other than Custodial,,Gang Rape,,Other Rape,,Attempt To Commit Rape,
Agra,38,4.7,2,0.2,36,4.5,9,1.1
Ahmedabad,100,3.3,0,0,100,3.3,0,0
Allahabad,20,3.6,2,0.4,18,3.2,0,0
Amritsar,34,6.1,2,0.4,32,5.8,8,1.4
Asansol,16,2.7,0,0,16,2.7,20,3.4
Aurangabad,27,4.7,2,0.4,25,4.4,0,0
Bengaluru,104,2.6,8,0.2,96,2.4,4,0.1
Bhopal,178,19.8,24,2.7,154,17.1,0,0
Chandigarh City,51,11,0,0,51,11,5,1.1
Chennai,65,1.5,0,0,65,1.5,1,0
Coimbatore,5,0.5,0,0,5,0.5,0,0
Delhi (City),1813,23.9,127,1.7,1686,22.3,59,0.8
Dhanbad,13,2.3,1,0.2,12,2.1,5,0.9
Durg-Bhilainagar,53,10.2,0,0,53,10.2,4,0.8
Faridabad,101,15.4,13,2,88,13.5,4,0.6
Ghaziabad,75,6.8,4,0.4,71,6.4,0,0
Gwalior,106,20.7,10,1.9,96,18.7,1,0.2
Flyderabad,126,3.3,1,0,125,3.3,2,0.1
Indore,185,17.8,11,1.1,174,16.8,3,0.3
Jabalpur,113,18.7,2,0.3,111,18.4,7,1.2
Jaipur,263,18.1,10,0.7,253,17.4,6,0.4
Jamshedpur,36,5.6,0,0,36,5.6,12,1.9
Jodhpur,68,12.6,1,0.2,67,12.5,2,0.4
Kannur,17,1.9,0,0,17,1.9,0,0
Kanpur,19,1.4,2,0.1,17,1.3,6,0.4
Kochi,64,6,0,0,64,6,2,0.2
Kolkata,36,0.5,6,0.1,30,0.4,1,0
Kollam,78,13.4,0,0,78,13.4,0,0
Kota,100,21.2,3,0.6,97,20.6,2,0.4
Kozhikode,35,3.3,0,0,35,3.3,2,0.2
Lucknow,52,3.8,2,0.1,50,3.6,2,0.1
Ludhiana,111,15,2,0.3,109,14.7,21,2.8
Madurai,6,0.8,0,0,6,0.8,0,0
Malappuram,10,1.1,0,0,10,1.1,0,0
Meerut,40,6,15,2.2,25,3.7,2,0.3
Mumbai,607,7.1,16,0.2,591,6.9,2,0
Nagpur,113,9.2,4,0.3,109,8.9,2,0.2
Nasik,28,3.8,2,0.3,26,3.5,0,0
Patna,54,5.6,1,0.1,53,5.5,21,2.2
Pune,189,7.9,3,0.1,186,7.8,0,0
Raipur,88,16.2,4,0.7,84,15.4,4,0.7
Rajkot,17,2.6,1,0.2,16,2.4,0,0
Ranchi,46,8.5,5,0.9,41,7.6,10,1.9
Srinagar,12,2,0,0,12,2,5,0.8
Surat,94,4.8,4,0.2,90,4.6,0,0
Thiruvananthapuram,56,6.4,1,0.1,55,6.3,2,0.2
Thrissur,38,3.9,0,0,38,3.9,0,0
Tiruch irapalli,3,0.6,0,0,3,0.6,0,0
Vadodara,23,2.6,0,0,23,2.6,0,0
Varanasi,27,4,0,0,27,4,0,0
Vasai Virar,60,10.5,1,0.2,59,10.3,0,0
Vijayawada,64,8.6,0,0,64,8.6,4,0.5
Vishakhapatnam,84,9.8,0,0,84,9.8,0,0
