City,Kidnapping & Abduction (Total),,Kidnapping & Abduction (Sec. 3631 PC),,Kidnapping & Abduction in order to Murder (Section 364 IPC),,Kidnapping for Ransom (Section 364-A IPC),,Kidnapping & Abduction of Women To Compel Her For Marriage,
Agra,333,19.1,197,11.3,83,4.8,7,0.4,46,5.7
Ahmedabad,367,5.8,102,1.6,0,0,8,0.1,201,6.7
Allahabad,103,8.5,9,0.7,0,0,0,0,52,9.3
Amritsar,78,6.6,3,0.3,3,0.3,0,0,47,8.5
Asansol,104,8.4,24,1.9,3,0.2,3,0.2,23,3.9
Aurangabad,63,5.3,32,2.7,0,0,0,0,16,2.8
Bengaluru,708,8.3,607,7.1,1,0,29,0.3,11,0.3
Bhopal,290,15.4,0,0,0,0,0,0,224,24.9
Chandigarh City,167,16.3,101,9.8,0,0,1,0.1,39,8.4
Chennai,36,0.4,12,0.1,1,0,2,0,16,0.4
Coimbatore,14,0.7,4,0.2,0,0,0,0,3,0.3
Delhi (City),6016,36.9,5596,34.3,0,0,35,0.2,1,0
Dhanbad,39,3.3,0,0,0,0,0,0,33,5.9
Durg-Bhilainagar,222,20.9,115,10.8,0,0,0,0,24,4.6
Faridabad,384,27.3,3,0.2,0,0,0,0,190,29.1
Ghaziabad,276,11.7,80,3.4,54,2.3,1,0,141,12.8
Gwalior,189,17.2,68,6.2,1,0.1,2,0.2,30,5.8
Flyderabad,374,4.8,235,3,0,0,1,0,6,0.2
Indore,439,20.3,370,17.1,1,0,3,0.1,46,4.4
Jabalpur,359,28.3,107,8.4,0,0,2,0.2,93,15.4
Jaipur,653,21.2,238,7.7,0,0,1,0,97,6.7
Jamshedpur,64,4.8,8,0.6,2,0.1,2,0.1,49,7.7
Jodhpur,108,9.5,14,1.2,0,0,0,0,34,6.3
Kannur,5,0.3,0,0,0,0,0,0,3,0.3
Kanpur,233,8,0,0,0,0,3,0.1,59,4.4
Kochi,4,0.2,0,0,0,0,0,0,1,0.1
Kolkata,341,2.4,110,0.8,2,0,19,0.1,109,1.6
Kollam,13,1.2,0,0,0,0,0,0,8,1.4
Kota,187,18.7,35,3.5,0,0,1,0.1,102,21.6
Kozhikode,2,0.1,1,0,0,0,0,0,0,0
Lucknow,348,12,279,9.6,0,0,1,0,67,4.8
Ludhiana,246,15.2,0,0,0,0,0,0,113,15.3
Madurai,27,1.8,4,0.3,0,0,0,0,13,1.8
Malappuram,3,0.2,0,0,0,0,0,0,1,0.1
Meerut,233,16.4,0,0,0,0,0,0,151,22.5
Mumbai,541,2.9,451,2.4,1,0,3,0,15,0.2
Nagpur,145,5.8,97,3.9,0,0,0,0,46,3.8
Nasik,59,3.8,50,3.2,3,0.2,1,0.1,3,0.4
Patna,599,29.3,0,0,13,0.6,11,0.5,359,37.4
Pune,228,4.5,106,2.1,0,0,0,0,47,2
Raipur,171,15.2,145,12.9,1,0.1,0,0,21,3.9
Rajkot,99,7.1,27,1.9,0,0,4,0.3,52,7.9
Ranchi,107,9.5,0,0,0,0,6,0.5,88,16.3
Srinagar,71,5.6,37,2.9,3,0.2,0,0,0,0
Surat,263,5.7,123,2.7,0,0,5,0.1,101,5.1
Thiruvananthapuram,14,0.8,10,0.6,0,0,0,0,3,0.3
Thrissur,8,0.4,0,0,0,0,0,0,0,0
Tiruch irapalli,7,0.7,3,0.3,0,0,0,0,0,0
Vadodara,93,5.1,22,1.2,0,0,1,0.1,56,6.4
Varanasi,97,6.8,0,0,0,0,0,0,87,12.9
Vasai Virar,85,7,27,2.2,0,0,1,0.1,1,0.2
Vijayawada,42,2.8,13,0.9,1,0.1,1,0.1,11,1.5
Vishakhapatnam,130,7.5,130,7.5,0,0,0,0,0,0
