City,Other Kidnapping & Abduction,,Total Dacoity,,Dacoity with Murder (Section 396 IPC),,Others,,Making Preparation and Assembly for Committing Dacoity,
Agra,0,0,7,0.4,1,0.1,6,0.3,6,0.3
Ahmedabad,56,0.9,18,0.3,0,0,18,0.3,2,0
Allahabad,42,3.5,2,0.2,0,0,2,0.2,0,0
Amritsar,25,2.1,1,0.1,0,0,1,0.1,12,1
Asansol,51,4.1,5,0.4,0,0,5,0.4,30,2.4
Aurangabad,15,1.3,25,2.1,0,0,25,2.1,15,1.3
Bengaluru,60,0.7,51,0.6,0,0,51,0.6,347,4.1
Bhopal,66,3.5,8,0.4,0,0,8,0.4,0,0
Chandigarh City,26,2.5,4,0.4,0,0,4,0.4,2,0.2
Chennai,5,0.1,8,0.1,0,0,8,0.1,0,0
Coimbatore,7,0.3,5,0.2,0,0,5,0.2,0,0
Delhi (City),384,2.4,65,0.4,1,0,64,0.4,5,0
Dhanbad,6,0.5,7,0.6,0,0,7,0.6,1,0.1
Durg-Bhilainagar,83,7.8,2,0.2,0,0,2,0.2,0,0
Faridabad,191,13.6,7,0.5,0,0,7,0.5,4,0.3
Ghaziabad,0,0,6,0.3,0,0,6,0.3,5,0.2
Gwalior,88,8,5,0.5,0,0,5,0.5,34,3.1
Flyderabad,132,1.7,9,0.1,0,0,9,0.1,0,0
Indore,19,0.9,1,0,0,0,1,0,2,0.1
Jabalpur,157,12.4,0,0,0,0,0,0,4,0.3
Jaipur,317,10.3,3,0.1,0,0,3,0.1,14,0.5
Jamshedpur,3,0.2,5,0.4,0,0,5,0.4,2,0.1
Jodhpur,60,5.3,0,0,0,0,0,0,1,0.1
Kannur,2,0.1,0,0,0,0,0,0,0,0
Kanpur,171,5.9,3,0.1,0,0,3,0.1,2,0.1
Kochi,3,0.1,2,0.1,0,0,2,0.1,9,0.4
Kolkata,101,0.7,3,0,0,0,3,0,19,0.1
Kollam,5,0.5,2,0.2,0,0,2,0.2,0,0
Kota,49,4.9,1,0.1,1,0.1,0,0,4,0.4
Kozhikode,1,0,0,0,0,0,0,0,1,0
Lucknow,1,0,1,0,0,0,1,0,0,0
Ludhiana,133,8.2,2,0.1,0,0,2,0.1,24,1.5
Madurai,10,0.7,4,0.3,0,0,4,0.3,0,0
Malappuram,2,0.1,0,0,0,0,0,0,0,0
Meerut,82,5.8,8,0.6,0,0,8,0.6,1,0.1
Mumbai,71,0.4,34,0.2,0,0,34,0.2,14,0.1
Nagpur,2,0.1,16,0.6,1,0,15,0.6,16,0.6
Nasik,2,0.1,13,0.8,0,0,13,0.8,29,1.9
Patna,216,10.6,28,1.4,0,0,28,1.4,0,0
Pune,75,1.5,92,1.8,2,0,90,1.8,33,0.7
Raipur,4,0.4,2,0.2,0,0,2,0.2,0,0
Rajkot,16,1.2,7,0.5,0,0,7,0.5,0,0
Ranchi,13,1.2,5,0.4,0,0,5,0.4,0,0
Srinagar,31,2.4,1,0.1,0,0,1,0.1,0,0
Surat,34,0.7,14,0.3,0,0,14,0.3,2,0
Thiruvananthapuram,1,0.1,1,0.1,0,0,1,0.1,27,1.6
Thrissur,8,0.4,5,0.3,0,0,5,0.3,0,0
Tiruchirapalli,4,0.4,0,0,0,0,0,0,0,0
Vadodara,14,0.8,10,0.6,0,0,10,0.6,0,0
Varanasi,10,0.7,0,0,0,0,0,0,1,0.1
Vasai Virar,56,4.6,12,1,0,0,12,1,6,0.5
Vijayawada,16,1.1,3,0.2,1,0.1,2,0.1,0,0
Vishakhapatnam,0,0,4,0.2,0,0,4,0.2,0,0
