City,Total Theft,,Auto Theft,,Other Theft,,Unlawful Assembly,
Agra,3047,174.5,2466,141.2,581,33.3,0,0
Ahmedabad,2589,40.8,1693,26.7,896,14.1,18,0.3
Allahabad,1647,135.3,1325,108.9,322,26.5,0,0
Amritsar,324,27.4,93,7.9,231,19.5,0,0
Asansol,607,48.8,278,22.4,329,26.5,0,0
Aurangabad,1419,119.3,706,59.4,713,60,36,3
Bengaluru,11455,134.8,5075,59.7,6380,75.1,0,0
Bhopal,2706,143.7,1765,93.7,941,50,0,0
Chandigarh City,1217,118.6,791,77.1,426,41.5,0,0
Chennai,1520,17.5,252,2.9,1268,14.6,124,1.4
Coimbatore,353,16.4,113,5.3,240,11.2,56,2.6
Delhi (City),71937,440.9,21321,130.7,50616,310.2,0,0
Dhanbad,341,28.5,188,15.7,153,12.8,0,0
Durg-Bhilainagar,751,70.6,365,34.3,386,36.3,0,0
Faridabad,2079,148,1736,123.6,343,24.4,0,0
Ghaziabad,2539,107.6,1998,84.7,541,22.9,1,0
Gwalior,1622,147.2,1226,111.3,396,35.9,0,0
Flyderabad,4266,55.1,1396,18,2870,37,4,0.1
Indore,5914,272.9,4410,203.5,1504,69.4,6,0.3
Jabalpur,713,56.2,496,39.1,217,17.1,0,0
Jaipur,7071,230.1,5113,166.4,1958,63.7,347,11.3
Jamshedpur,808,60.4,412,30.8,396,29.6,2,0.1
Jodhpur,993,87.3,653,57.4,340,29.9,0,0
Kannur,47,2.9,23,1.4,24,1.5,0,0
Kanpur,1101,37.7,854,29.2,247,8.5,0,0
Kochi,331,15.6,108,5.1,223,10.5,140,6.6
Kolkata,4579,32.4,740,5.2,3839,27.2,113,0.8
Kollam,143,12.9,65,5.9,78,7,0,0
Kota,890,88.9,615,61.4,275,27.5,48,4.8
Kozhikode,282,13.9,165,8.1,117,5.8,0,0
Lucknow,2937,101.2,2037,70.2,900,31,16,0.6
Ludhiana,603,37.4,209,12.9,394,24.4,0,0
Madurai,576,39.4,389,26.6,187,12.8,0,0
Malappuram,72,4.2,31,1.8,41,2.4,0,0
Meerut,2715,190.5,2150,150.9,565,39.6,0,0
Mumbai,10101,54.9,3598,19.5,6503,35.3,6,0
Nagpur,2962,118.6,1604,64.2,1358,54.4,36,1.4
Nasik,1053,67.4,685,43.8,368,23.5,2,0.1
Patna,3653,178.5,2058,100.5,1595,77.9,0,0
Pune,4867,96.4,2782,55.1,2085,41.3,10,0.2
Raipur,1340,119.3,761,67.8,579,51.6,0,0
Rajkot,835,60,671,48.2,164,11.8,14,1
Ranchi,1834,162.7,1149,102,685,60.8,0,0
Srinagar,375,29.5,240,18.9,135,10.6,0,0
Surat,1315,28.7,886,19.3,429,9.4,5,0.1
Thiruvananthapuram,325,19.3,88,5.2,237,14,2,0.1
Thrissur,165,8.9,57,3.1,108,5.8,84,4.5
Tiruch irapalli,307,30,66,6.5,241,23.6,0,0
Vadodara,1242,68.4,820,45.1,422,23.2,17,0.9
Varanasi,596,41.5,420,29.3,176,12.3,2,0.1
Vasai Virar,790,64.7,375,30.7,415,34,2,0.2
Vijayawada,2016,135.2,685,45.9,1331,89.3,25,1.7
Vishakhapatnam,1358,78.5,401,23.2,957,55.3,0,0
,,,,,,,1116,0.7
