City,Riots (Total),,Communal,,Industrial,,Political,
Agra,242,13.9,0,0,0,0,0,0
Ahmedabad,87,1.4,18,0.3,2,0,2,0
Allahabad,23,1.9,0,0,0,0,0,0
Amritsar,0,0,0,0,0,0,0,0
Asansol,181,14.6,0,0,0,0,0,0
Aurangabad,134,11.3,0,0,0,0,0,0
Bengaluru,388,4.6,0,0,0,0,3,0
Bhopal,41,2.2,0,0,0,0,0,0
Chandigarh City,31,3,0,0,0,0,0,0
Chennai,118,1.4,0,0,0,0,0,0
Coimbatore,25,1.2,0,0,0,0,0,0
Delhi (City),144,0.9,1,0,0,0,5,0
Dhanbad,57,4.8,0,0,0,0,0,0
Durg-Bhilainagar,34,3.2,0,0,0,0,0,0
Faridabad,207,14.7,207,14.7,0,0,0,0
Ghaziabad,37,1.6,0,0,0,0,0,0
Gwalior,68,6.2,0,0,0,0,0,0
Flyderabad,57,0.7,4,0.1,0,0,0,0
Indore,50,2.3,2,0.1,0,0,1,0
Jabalpur,43,3.4,0,0,0,0,6,0.5
Jaipur,75,2.4,1,0,0,0,0,0
Jamshedpur,82,6.1,0,0,0,0,0,0
Jodhpur,3,0.3,0,0,0,0,0,0
Kannur,227,13.8,0,0,0,0,57,3.5
Kanpur,97,3.3,0,0,0,0,0,0
Kochi,57,2.7,0,0,0,0,0,0
Kolkata,315,2.2,0,0,0,0,0,0
Kollam,301,27.1,0,0,0,0,23,2.1
Kota,0,0,0,0,0,0,0,0
Kozhikode,220,10.8,0,0,0,0,17,0.8
Lucknow,73,2.5,8,0.3,0,0,0,0
Ludhiana,0,0,0,0,0,0,0,0
Madurai,23,1.6,0,0,0,0,0,0
Malappuram,154,9.1,0,0,0,0,0,0
Meerut,161,11.3,8,0.6,0,0,0,0
Mumbai,409,2.2,0,0,0,0,7,0
Nagpur,147,5.9,0,0,0,0,0,0
Nasik,64,4.1,0,0,0,0,1,0.1
Patna,470,23,0,0,0,0,0,0
Pune,259,5.1,8,0.2,0,0,13,0.3
Raipur,45,4,0,0,0,0,2,0.2
Rajkot,61,4.4,0,0,0,0,0,0
Ranchi,51,4.5,0,0,0,0,4,0.4
Srinagar,130,10.2,0,0,0,0,0,0
Surat,40,0.9,1,0,0,0,0,0
Thiruvananthapuram,226,13.4,0,0,0,0,0,0
Thrissur,98,5.3,0,0,0,0,4,0.2
Tiruch irapalli,10,1,0,0,0,0,0,0
Vadodara,60,3.3,19,1,0,0,0,0
Varanasi,34,2.4,0,0,0,0,0,0
Vasai Virar,99,8.1,0,0,0,0,2,0.2
Vijayawada,2,0.1,0,0,0,0,0,0
Vishakhapatnam,3,0.2,0,0,0,0,3,0.2
