Cities,Riots Others (excluding previous columns),,Criminal Breach of Trust,,Cheating,
Agra,242,13.9,73,4.2,299,17.1
Ahmedabad,59,0.9,169,2.7,214,3.4
Allahabad,21,1.7,59,4.8,299,24.6
Amritsar,0,0,24,2,307,25.9
Asansol,181,14.6,98,7.9,136,10.9
Aurangabad,134,11.3,15,1.3,197,16.6
Bengaluru,373,4.4,107,1.3,3045,35.8
Bhopal,41,2.2,20,1.1,197,10.5
Chandigarh City,25,2.4,22,2.1,242,23.6
Chennai,118,1.4,6,0.1,553,6.4
Coimbatore,25,1.2,8,0.4,177,8.2
Delhi (City),119,0.7,593,3.6,4119,25.2
Dhanbad,57,4.8,68,5.7,21,1.8
Durg-Bhilainagar,34,3.2,13,1.2,92,8.6
Faridabad,0,0,200,14.2,50,3.6
Ghaziabad,37,1.6,125,5.3,329,13.9
Gwalior,68,6.2,51,4.6,121,11
Flyderabad,29,0.4,97,1.3,2557,33
Indore,47,2.2,30,1.4,156,7.2
Jabalpur,37,2.9,7,0.6,89,7
Jaipur,66,2.1,320,10.4,4634,150.8
Jamshedpur,82,6.1,101,7.6,381,28.5
Jodhpur,3,0.3,14,1.2,537,47.2
Kannur,163,9.9,2,0.1,47,2.9
Kanpur,97,3.3,125,4.3,337,11.5
Kochi,57,2.7,15,0.7,749,35.4
Kolkata,315,2.2,338,2.4,1914,13.6
Kollam,276,24.9,9,0.8,187,16.8
Kota,0,0,9,0.9,917,91.6
Kozhikode,189,9.3,34,1.7,259,12.8
Lucknow,65,2.2,459,15.8,841,29
Ludhiana,0,0,29,1.8,349,21.6
Madurai,23,1.6,8,0.5,247,16.9
Malappuram,154,9.1,4,0.2,98,5.8
Meerut,153,10.7,67,4.7,259,18.2
Mumbai,400,2.2,672,3.6,2594,14.1
Nagpur,147,5.9,52,2.1,394,15.8
Nasik,63,4,26,1.7,130,8.3
Patna,470,23,60,2.9,1102,53.8
Pune,238,4.7,70,1.4,770,15.2
Raipur,43,3.8,29,2.6,252,22.4
Rajkot,61,4.4,70,5,18,1.3
Ranchi,47,4.2,32,2.8,206,18.3
Srinagar,130,10.2,9,0.7,77,6
Surat,30,0.7,26,0.6,329,7.2
Thiruvananthapuram,226,13.4,19,1.1,294,17.4
Thrissur,73,3.9,14,0.8,362,19.5
Tiruch irapalli,10,1,0,0,102,10
Vadodara,41,2.3,18,1,195,10.7
Varanasi,34,2.4,124,8.6,313,21.8
Vasai Virar,95,7.8,28,2.3,213,17.4
Vijayawada,2,0.1,68,4.6,391,26.2
Vishakhapatnam,0,0,71,4.1,413,23.9
