City,Forgery,Counterfeiting Total,,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",,Counterfeiting Government Stamp (Section 255 IPC),,
Agra,0,0,6,0.3,0,0,0,0
Ahmedabad,5,0.1,11,0.2,0,0,0,0
Allahabad,0,0,6,0.5,0,0,0,0
Amritsar,2,0.2,2,0.2,0,0,0,0
Asansol,68,5.5,2,0.2,0,0,0,0
Aurangabad,4,0.3,2,0.2,0,0,0,0
Bengaluru,43,0.5,29,0.3,0,0,0,0
Bhopal,3,0.2,5,0.3,0,0,0,0
Chandigarh City,3,0.3,0,0,0,0,0,0
Chennai,67,0.8,74,0.9,0,0,0,0
Coimbatore,1,0,2,0.1,0,0,0,0
Delhi (City),354,2.2,72,0.4,1,0,0,0
Dhanbad,24,2,1,0.1,0,0,0,0
Durg-Bhilainagar,1,0.1,6,0.6,0,0,0,0
Faridabad,107,7.6,4,0.3,0,0,0,0
Ghaziabad,0,0,1,0,0,0,0,0
Gwalior,3,0.3,0,0,0,0,0,0
Flyderabad,43,0.6,37,0.5,0,0,0,0
Indore,47,2.2,5,0.2,0,0,0,0
Jabalpur,9,0.7,2,0.2,0,0,0,0
Jaipur,1,0,6,0.2,0,0,0,0
Jamshedpur,41,3.1,0,0,0,0,0,0
Jodhpur,532,46.7,2,0.2,0,0,0,0
Kannur,0,0,1,0.1,0,0,0,0
Kanpur,0,0,6,0.2,0,0,0,0
Kochi,1,0,3,0.1,0,0,0,0
Kolkata,0,0,24,0.2,0,0,0,0
Kollam,14,1.3,2,0.2,0,0,0,0
Kota,0,0,2,0.2,0,0,0,0
Kozhikode,3,0.1,9,0.4,0,0,0,0
Lucknow,44,1.5,7,0.2,0,0,0,0
Ludhiana,0,0,1,0.1,0,0,0,0
Madurai,0,0,27,1.8,0,0,0,0
Malappuram,0,0,1,0.1,0,0,0,0
Meerut,0,0,6,0.4,0,0,0,0
Mumbai,980,5.3,39,0.2,0,0,0,0
Nagpur,2,0.1,3,0.1,0,0,0,0
Nasik,1,0.1,12,0.8,0,0,0,0
Patna,0,0,1,0,1,0,0,0
Pune,8,0.2,14,0.3,0,0,0,0
Raipur,0,0,3,0.3,0,0,0,0
Rajkot,3,0.2,3,0.2,0,0,0,0
Ranchi,55,4.9,2,0.2,0,0,0,0
Srinagar,0,0,5,0.4,0,0,0,0
Surat,18,0.4,7,0.2,0,0,0,0
Thiruvananthapuram,23,1.4,14,0.8,0,0,0,0
Thrissur,4,0.2,3,0.2,0,0,0,0
Tiruch irapalli,0,0,2,0.2,0,0,0,0
Vadodara,9,0.5,4,0.2,0,0,0,0
Varanasi,0,0,5,0.3,0,0,0,0
Vasai Virar,11,0.9,10,0.8,0,0,0,0
Vijayawada,46,3.1,12,0.8,0,0,0,0
Vishakhapatnam,3,0.2,7,0.4,0,0,0,0
