City,Counterfeit Currency & Bank Notes Total,,Counterfeiting Currency- Notes or Bank Notes (Section 489A IPC),,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",
Agra,6,0.3,6,0.3,0,0
Ahmedabad,11,0.2,2,0,1,0
Allahabad,6,0.5,6,0.5,0,0
Amritsar,2,0.2,2,0.2,0,0
Asansol,2,0.2,2,0.2,0,0
Aurangabad,2,0.2,2,0.2,0,0
Bengaluru,29,0.3,13,0.2,13,0.2
Bhopal,5,0.3,0,0,0,0
Chandigarh City,0,0,0,0,0,0
Chennai,74,0.9,0,0,74,0.9
Coimbatore,2,0.1,0,0,0,0
Delhi (City),71,0.4,5,0,5,0
Dhanbad,1,0.1,1,0.1,0,0
Durg-Bhilainagar,6,0.6,0,0,6,0.6
Faridabad,4,0.3,0,0,4,0.3
Ghaziabad,1,0,1,0,0,0
Gwalior,0,0,0,0,0,0
Flyderabad,37,0.5,6,0.1,26,0.3
Indore,5,0.2,4,0.2,0,0
Jabalpur,2,0.2,2,0.2,0,0
Jaipur,6,0.2,1,0,4,0.1
Jamshedpur,0,0,0,0,0,0
Jodhpur,2,0.2,0,0,2,0.2
Kannur,1,0.1,0,0,1,0.1
Kanpur,6,0.2,6,0.2,0,0
Kochi,3,0.1,3,0.1,0,0
Kolkata,24,0.2,19,0.1,3,0
Kollam,2,0.2,2,0.2,0,0
Kota,2,0.2,2,0.2,0,0
Kozhikode,9,0.4,7,0.3,1,0
Lucknow,7,0.2,3,0.1,4,0.1
Ludhiana,1,0.1,1,0.1,0,0
Madurai,27,1.8,27,1.8,0,0
Malappuram,1,0.1,1,0.1,0,0
Meerut,6,0.4,6,0.4,0,0
Mumbai,39,0.2,26,0.1,8,0
Nagpur,3,0.1,3,0.1,0,0
Nasik,12,0.8,11,0.7,1,0.1
Patna,0,0,0,0,0,0
Pune,14,0.3,14,0.3,0,0
Raipur,3,0.3,3,0.3,0,0
Rajkot,3,0.2,0,0,3,0.2
Ranchi,2,0.2,0,0,0,0
Srinagar,5,0.4,5,0.4,0,0
Surat,7,0.2,4,0.1,3,0.1
Thiruvananthapuram,14,0.8,0,0,0,0
Thrissur,3,0.2,3,0.2,0,0
Tiruch irapalli,2,0.2,2,0.2,0,0
Vadodara,4,0.2,4,0.2,0,0
Varanasi,5,0.3,5,0.3,0,0
Vasai Virar,10,0.8,0,0,10,0.8
Vijayawada,12,0.8,0,0,12,0.8
Vishakhapatnam,7,0.4,7,0.4,0,0
