City,Possession Of Forged Or Counterfeiting Currency/Bank Notes,,Making or Possessing Materials for Forged Currency/Bank Notes,,Making or Using Documents Resembling Currency Notes/Bank Notes,
Agra,0,0,0,0,0,0
Ahmedabad,8,0.1,0,0,0,0
Allahabad,0,0,0,0,0,0
Amritsar,0,0,0,0,0,0
Asansol,0,0,0,0,0,0
Aurangabad,0,0,0,0,0,0
Bengaluru,2,0,0,0,1,0
Bhopal,0,0,5,0.3,0,0
Chandigarh City,0,0,0,0,0,0
Chennai,0,0,0,0,0,0
Coimbatore,2,0.1,0,0,0,0
Delhi (City),61,0.4,0,0,0,0
Dhanbad,0,0,0,0,0,0
Durg-Bhilainagar,0,0,0,0,0,0
Faridabad,0,0,0,0,0,0
Ghaziabad,0,0,0,0,0,0
Gwalior,0,0,0,0,0,0
Flyderabad,5,0.1,0,0,0,0
Indore,1,0,0,0,0,0
Jabalpur,0,0,0,0,0,0
Jaipur,1,0,0,0,0,0
Jamshedpur,0,0,0,0,0,0
Jodhpur,0,0,0,0,0,0
Kannur,0,0,0,0,0,0
Kanpur,0,0,0,0,0,0
Kochi,0,0,0,0,0,0
Kolkata,2,0,0,0,0,0
Kollam,0,0,0,0,0,0
Kota,0,0,0,0,0,0
Kozhikode,1,0,0,0,0,0
Lucknow,0,0,0,0,0,0
Ludhiana,0,0,0,0,0,0
Madurai,0,0,0,0,0,0
Malappuram,0,0,0,0,0,0
Meerut,0,0,0,0,0,0
Mumbai,5,0,0,0,0,0
Nagpur,0,0,0,0,0,0
Nasik,0,0,0,0,0,0
Patna,0,0,0,0,0,0
Pune,0,0,0,0,0,0
Raipur,0,0,0,0,0,0
Rajkot,0,0,0,0,0,0
Ranchi,0,0,0,0,2,0.2
Srinagar,0,0,0,0,0,0
Surat,0,0,0,0,0,0
Thiruvananthapuram,0,0,0,0,14,0.8
Thrissur,0,0,0,0,0,0
Tiruch irapalli,0,0,0,0,0,0
Vadodara,0,0,0,0,0,0
Varanasi,0,0,0,0,0,0
Vasai Virar,0,0,0,0,0,0
Vijayawada,0,0,0,0,0,0
Vishakhapatnam,0,0,0,0,0,0
