City,Arson,,Grievous Hurt (Total),,Grievous Hurt (Section 325 & 326 IPC),,Acid Attack (Section 326A IPC),,Attempt To Acid Attack (Section 326B IPC),
Agra,5,0.3,164,9.4,163,9.3,1,0.1,0,0
Ahmedabad,4,0.1,245,3.9,241,3.8,3,0,1,0
Allahabad,0,0,21,1.7,19,1.6,2,0.2,0,0
Amritsar,2,0.2,143,12.1,142,12,1,0.1,0,0
Asansol,10,0.8,2,0.2,0,0,2,0.2,0,0
Aurangabad,35,2.9,71,6,71,6,0,0,0,0
Bengaluru,100,1.2,217,2.6,216,2.5,0,0,1,0
Bhopal,12,0.6,298,15.8,298,15.8,0,0,0,0
Chandigarh City,12,1.2,19,1.9,19,1.9,0,0,0,0
Chennai,17,0.2,46,0.5,44,0.5,2,0,0,0
Coimbatore,14,0.7,17,0.8,17,0.8,0,0,0,0
Delhi (City),166,1,606,3.7,575,3.5,20,0.1,11,0.1
Dhanbad,0,0,12,1,12,1,0,0,0,0
Durg-Bhilainagar,36,3.4,42,3.9,42,3.9,0,0,0,0
Faridabad,7,0.5,111,7.9,110,7.8,1,0.1,0,0
Ghaziabad,1,0,10,0.4,8,0.3,1,0,1,0
Gwalior,10,0.9,36,3.3,36,3.3,0,0,0,0
Flyderabad,20,0.3,119,1.5,119,1.5,0,0,0,0
Indore,39,1.8,72,3.3,70,3.2,2,0.1,0,0
Jabalpur,4,0.3,93,7.3,93,7.3,0,0,0,0
Jaipur,26,0.8,6,0.2,6,0.2,0,0,0,0
Jamshedpur,1,0.1,56,4.2,55,4.1,1,0.1,0,0
Jodhpur,11,1,10,0.9,10,0.9,0,0,0,0
Kannur,20,1.2,8,0.5,8,0.5,0,0,0,0
Kanpur,3,0.1,91,3.1,90,3.1,0,0,1,0
Kochi,3,0.1,49,2.3,49,2.3,0,0,0,0
Kolkata,0,0,905,6.4,905,6.4,0,0,0,0
Kollam,13,1.2,132,11.9,132,11.9,0,0,0,0
Kota,1,0.1,28,2.8,28,2.8,0,0,0,0
Kozhikode,9,0.4,31,1.5,31,1.5,0,0,0,0
Lucknow,11,0.4,91,3.1,91,3.1,0,0,0,0
Ludhiana,5,0.3,208,12.9,206,12.8,2,0.1,0,0
Madurai,7,0.5,4,0.3,4,0.3,0,0,0,0
Malappuram,4,0.2,20,1.2,20,1.2,0,0,0,0
Meerut,0,0,10,0.7,10,0.7,0,0,0,0
Mumbai,54,0.3,2006,10.9,2004,10.9,2,0,0,0
Nagpur,33,1.3,313,12.5,312,12.5,0,0,1,0
Nasik,6,0.4,65,4.2,65,4.2,0,0,0,0
Patna,0,0,2515,122.9,2515,122.9,0,0,0,0
Pune,38,0.8,470,9.3,469,9.3,0,0,1,0
Raipur,19,1.7,99,8.8,99,8.8,0,0,0,0
Rajkot,11,0.8,92,6.6,92,6.6,0,0,0,0
Ranchi,9,0.8,421,37.4,421,37.4,0,0,0,0
Srinagar,27,2.1,8,0.6,6,0.5,2,0.2,0,0
Surat,4,0.1,355,7.7,355,7.7,0,0,0,0
Thiruvananthapuram,10,0.6,48,2.8,48,2.8,0,0,0,0
Thrissur,12,0.6,67,3.6,67,3.6,0,0,0,0
Tiruch irapalli,0,0,13,1.3,13,1.3,0,0,0,0
Vadodara,8,0.4,106,5.8,105,5.8,1,0.1,0,0
Varanasi,0,0,74,5.2,74,5.2,0,0,0,0
Vasai Virar,4,0.3,77,6.3,76,6.2,1,0.1,0,0
Vijayawada,21,1.4,25,1.7,25,1.7,0,0,0,0
Vishakhapatnam,14,0.8,64,3.7,63,3.6,1,0.1,0,0
