City,Voyeurism(Section 354C IPC),,Stalking (Section 354D IPC),,Others,
Agra,2,0.2,18,2.2,21,2.6
Ahmedabad,2,0.1,12,0.4,79,2.6
Allahabad,2,0.4,40,7.1,0,0
Amritsar,0,0,0,0,0,0
Asansol,3,0.5,8,1.3,78,13.1
Aurangabad,2,0.4,65,11.4,33,5.8
Bengaluru,4,0.1,19,0.5,596,14.7
Bhopal,0,0,0,0,0,0
Chandigarh City,2,0.4,8,1.7,35,7.6
Chennai,0,0,0,0,59,1.4
Coimbatore,0,0,0,0,8,0.7
Delhi (City),28,0.4,489,6.5,1911,25.2
Dhanbad,0,0,0,0,18,3.2
Durg-Bhilainagar,0,0,0,0,194,37.5
Faridabad,1,0.2,17,2.6,20,3.1
Ghaziabad,1,0.1,46,4.2,19,1.7
Gwalior,0,0,27,5.3,188,36.6
Flyderabad,12,0.3,35,0.9,213,5.7
Indore,1,0.1,31,3,185,17.8
Jabalpur,0,0,0,0,221,36.6
Jaipur,1,0.1,34,2.3,324,22.3
Jamshedpur,0,0,0,0,16,2.5
Jodhpur,3,0.6,IB,2.8,IBB,28.8
Kannur,0,0,0,0,44,5
Kanpur,0,0,61,4.6,0,0
Kochi,0,0,0,0,0,0
Kolkata,25,0.4,118,1.7,263,3.9
Kollam,0,0,0,0,0,0
Kota,0,0,5,1.1,67,14.2
Kozhikode,0,0,1,0.1,100,9.4
Lucknow,0,0,37,2.7,39,2.8
Ludhiana,1,0.1,2,0.3,83,11.2
Madurai,0,0,0,0,0,0
Malappuram,0,0,0,0,72,8.1
Meerut,0,0,43,6.4,73,10.9
Mumbai,14,0.2,129,1.5,784,9.2
Nagpur,4,0.3,53,4.3,14,1.1
Nasik,0,0,7,0.9,32,4.3
Patna,0,0,0,0,0,0
Pune,2,0.1,38,1.6,298,12.5
Raipur,0,0,11,2,62,11.4
Rajkot,0,0,0,0,26,3.9
Ranchi,0,0,0,0,11,2
Srinagar,0,0,0,0,217,36.4
Surat,0,0,1,0.1,24,1.2
Thiruvananthapuram,0,0,5,0.6,179,20.5
Thrissur,3,0.3,7,0.7,72,7.4
Tiruch irapalli,0,0,1,0.2,5,1
Vadodara,1,0.1,21,2.4,38,4.4
Varanasi,0,0,24,3.6,0,0
Vasai Virar,1,0.2,8,1.4,85,14.9
Vijayawada,9,1.2,91,12.3,124,16.8
Vishakhapatnam,0,0,27,3.2,70,8.2
