City,Insult To The Modesty of Women (Total),,Insult to Modesty of Women At Office Premises,,Insult to Modesty of Women in Other Places Related To Work,,Insult to Modesty of Women In Public Transport System,,Insult to Modesty of Women at Other places,
Agra,0,0,0,0,0,0,0,0,0,0
Ahmedabad,3,0.1,0,0,0,0,0,0,3,0.1
Allahabad,1,0.2,0,0,0,0,0,0,1,0.2
Amritsar,2,0.4,0,0,0,0,0,0,2,0.4
Asansol,1,0.2,0,0,0,0,0,0,1,0.2
Aurangabad,5,0.9,0,0,0,0,0,0,5,0.9
Bengaluru,57,1.4,1,0,2,0,1,0,53,1.3
Bhopal,13,1.4,0,0,13,1.4,0,0,0,0
Chandigarh City,1,0.2,0,0,0,0,0,0,1,0.2
Chennai,157,3.6,0,0,157,3.6,0,0,0,0
Coimbatore,0,0,0,0,0,0,0,0,0,0
Delhi (City),1111,14.7,11,0.1,21,0.3,8,0.1,1071,14.1
Dhanbad,0,0,0,0,0,0,0,0,0,0
Durg-Bhilainagar,9,1.7,0,0,0,0,0,0,9,1.7
Faridabad,16,2.4,0,0,0,0,0,0,16,2.4
Ghaziabad,8,0.7,0,0,0,0,0,0,8,0.7
Gwalior,19,3.7,0,0,0,0,0,0,19,3.7
Flyderabad,87,2.3,4,0.1,23,0.6,0,0,60,1.6
Indore,31,3,1,0.1,0,0,1,0.1,29,2.8
Jabalpur,31,5.1,0,0,0,0,0,0,31,5.1
Jaipur,0,0,0,0,0,0,0,0,0,0
Jamshedpur,0,0,0,0,0,0,0,0,0,0
Jodhpur,3,0.6,0,0,0,0,0,0,3,0.6
Kannur,5,0.6,0,0,0,0,0,0,5,0.6
Kanpur,1,0.1,0,0,0,0,0,0,1,0.1
Kochi,18,1.7,0,0,0,0,0,0,18,1.7
Kolkata,286,4.2,2,0,2,0,7,0.1,275,4
Kollam,13,2.2,0,0,0,0,0,0,13,2.2
Kota,0,0,0,0,0,0,0,0,0,0
Kozhikode,9,0.8,0,0,0,0,0,0,9,0.8
Lucknow,2,0.1,2,0.1,0,0,0,0,0,0
Ludhiana,19,2.6,0,0,0,0,0,0,19,2.6
Madurai,1,0.1,0,0,0,0,0,0,1,0.1
Malappuram,0,0,0,0,0,0,0,0,0,0
Meerut,0,0,0,0,0,0,0,0,0,0
Mumbai,363,4.3,4,0,23,0.3,1,0,335,3.9
Nagpur,25,2,0,0,0,0,0,0,25,2
Nasik,3,0.4,0,0,0,0,0,0,3,0.4
Patna,56,5.8,0,0,0,0,0,0,56,5.8
Pune,98,4.1,0,0,6,0.3,0,0,92,3.8
Raipur,3,0.6,0,0,3,0.6,0,0,0,0
Rajkot,5,0.8,0,0,0,0,0,0,5,0.8
Ranchi,8,1.5,0,0,0,0,0,0,8,1.5
Srinagar,44,7.4,0,0,0,0,0,0,44,7.4
Surat,0,0,0,0,0,0,0,0,0,0
Thiruvananthapuram,15,1.7,0,0,0,0,0,0,15,1.7
Thrissur,11,1.1,0,0,0,0,0,0,11,1.1
Tiruch irapalli,3,0.6,0,0,0,0,0,0,3,0.6
Vadodara,8,0.9,0,0,0,0,0,0,8,0.9
Varanasi,3,0.4,0,0,0,0,0,0,3,0.4
Vasai Virar,16,2.8,0,0,0,0,0,0,16,2.8
Vijayawada,212,28.6,0,0,0,0,1,0.1,211,28.5
Vishakhapatnam,112,13.1,0,0,0,0,0,0,112,13.1
