Cities,Cruelty By Husband or His Relatives *,,Importation of Girls From Foreign Country *,,Causing Death By Negligence (Total),,Deaths due to Rash/Negligent Driving,,Deaths due to Other Causes,
Agra,367,45.6,0,0,189,10.8,168,9.6,21,1.2
Ahmedabad,802,26.7,0,0,330,5.2,324,5.1,6,0.1
Allahabad,176,31.4,0,0,78,6.4,78,6.4,0,0
Amritsar,150,27.1,0,0,62,5.2,60,5.1,2,0.2
Asansol,490,82.4,0,0,211,17,211,17,0,0
Aurangabad,164,28.8,0,0,183,15.4,178,15,5,0.4
Bengaluru,490,12.1,0,0,885,10.4,684,8,201,2.4
Bhopal,295,32.9,0,0,216,11.5,187,9.9,29,1.5
Chandigarh City,137,29.6,0,0,90,8.8,82,8,8,0.8
Chennai,302,7,0,0,1083,12.5,1083,12.5,0,0
Coimbatore,63,5.9,0,0,297,13.8,279,13,18,0.8
Delhi (City),2840,37.5,0,0,1608,9.9,1338,8.2,270,1.7
Dhanbad,31,5.5,0,0,0,0,0,0,0,0
Durg-Bhilainagar,144,27.8,0,0,178,16.7,178,16.7,0,0
Faridabad,302,46.2,0,0,13,0.9,0,0,13,0.9
Ghaziabad,561,50.9,0,0,229,9.7,212,9,17,0.7
Gwalior,352,68.6,0,0,126,11.4,126,11.4,0,0
Flyderabad,1289,34.2,0,0,441,5.7,421,5.4,20,0.3
Indore,182,17.5,0,0,318,14.7,298,13.8,20,0.9
Jabalpur,163,27,0,0,145,11.4,136,10.7,9,0.7
Jaipur,1155,79.4,0,0,802,26.1,799,26,3,0.1
Jamshedpur,85,13.3,0,0,98,7.3,91,6.8,7,0.5
Jodhpur,428,79.6,0,0,255,22.4,236,20.7,19,1.7
Kannur,89,10.1,0,0,68,4.1,68,4.1,0,0
Kanpur,440,33,0,0,192,6.6,192,6.6,0,0
Kochi,166,15.4,0,0,114,5.4,112,5.3,2,0.1
Kolkata,1141,16.8,2,0,466,3.3,427,3,39,0.3
Kollam,296,51,0,0,181,16.3,181,16.3,0,0
Kota,538,114,0,0,119,11.9,115,11.5,4,0.4
Kozhikode,184,17.3,0,0,141,6.9,135,6.6,6,0.3
Lucknow,562,40.6,0,0,202,7,170,5.9,32,1.1
Ludhiana,158,21.4,0,0,240,14.9,240,14.9,0,0
Madurai,69,9.5,0,0,106,7.3,104,7.1,2,0.1
Malappuram,100,11.2,0,0,72,4.2,72,4.2,0,0
Meerut,399,59.6,0,0,179,12.6,179,12.6,0,0
Mumbai,563,6.6,0,0,584,3.2,528,2.9,56,0.3
Nagpur,234,19.1,0,0,316,12.7,316,12.7,0,0
Nasik,200,27.1,1,0.1,172,11,170,10.9,2,0.1
Patna,404,42.1,0,0,327,16,327,16,0,0
Pune,391,16.4,0,0,456,9,409,8.1,47,0.9
Raipur,83,15.3,0,0,145,12.9,119,10.6,26,2.3
Rajkot,301,45.6,0,0,142,10.2,137,9.8,5,0.4
Ranchi,92,17,1,0.2,82,7.3,82,7.3,0,0
Srinagar,63,10.6,0,0,51,4,51,4,0,0
Surat,405,20.5,0,0,244,5.3,244,5.3,0,0
Thiruvananthapuram,134,15.4,0,0,125,7.4,123,7.3,2,0.1
Thrissur,130,13.3,0,0,100,5.4,96,5.2,4,0.2
Tiruch irapalli,27,5.2,0,0,179,17.5,170,16.6,9,0.9
Vadodara,306,35.1,0,0,204,11.2,199,11,5,0.3
Varanasi,180,26.7,0,0,67,4.7,67,4.7,0,0
Vasai Virar,51,8.9,0,0,177,14.5,170,13.9,7,0.6
Vijayawada,642,86.8,0,0,312,20.9,312,20.9,0,0
Vishakhapatnam,371,43.4,0,0,360,20.8,353,20.4,7,0.4
