City,Offences Promoting Enmity Between Different Groups (Total),,"Promoting Enmity Between Different Groups on Ground of Religion, Race, Place of Birth, etc. (Section 153A IPC)",,"Imputation, Assertions Prejudicial to National Integration (Section 153B IPC)",,Extortion,,Disclosure of Identity of Victims,
Agra,3,0.2,2,0.1,1,0.1,42,2.4,0,0
Ahmedabad,0,0,0,0,0,0,28,0.4,0,0
Allahabad,0,0,0,0,0,0,0,0,0,0
Amritsar,0,0,0,0,0,0,3,0.3,0,0
Asansol,1,0.1,1,0.1,0,0,0,0,0,0
Aurangabad,0,0,0,0,0,0,13,1.1,0,0
Bengaluru,3,0,3,0,0,0,152,1.8,0,0
Bhopal,0,0,0,0,0,0,0,0,0,0
Chandigarh City,0,0,0,0,0,0,6,0.6,0,0
Chennai,4,0,4,0,0,0,56,0.6,1,0
Coimbatore,5,0.2,5,0.2,0,0,26,1.2,0,0
Delhi (City),13,0.1,13,0.1,0,0,211,1.3,1,0
Dhanbad,0,0,0,0,0,0,11,0.9,0,0
Durg-Bhilainagar,0,0,0,0,0,0,2,0.2,0,0
Faridabad,0,0,0,0,0,0,16,1.1,0,0
Ghaziabad,3,0.1,3,0.1,0,0,23,1,0,0
Gwalior,1,0.1,1,0.1,0,0,24,2.2,0,0
Hyderabad,0,0,0,0,0,0,47,0.6,0,0
Indore,0,0,0,0,0,0,1,0,0,0
Jabalpur,0,0,0,0,0,0,7,0.6,0,0
Jaipur,0,0,0,0,0,0,13,0.4,0,0
Jamshedpur,0,0,0,0,0,0,25,1.9,0,0
Jodhpur,2,0.2,2,0.2,0,0,2,0.2,0,0
Kannur,0,0,0,0,0,0,0,0,0,0
Kanpur,0,0,0,0,0,0,0,0,0,0
Kochi,3,0.1,3,0.1,0,0,3,0.1,0,0
Kolkata,0,0,0,0,0,0,168,1.2,0,0
Kollam,6,0.5,6,0.5,0,0,0,0,0,0
Kota,4,0.4,4,0.4,0,0,21,2.1,0,0
Kozhikode,1,0,1,0,0,0,0,0,0,0
Lucknow,2,0.1,2,0.1,0,0,42,1.4,0,0
Ludhiana,0,0,0,0,0,0,3,0.2,0,0
Madurai,0,0,0,0,0,0,32,2.2,0,0
Malappuram,1,0.1,1,0.1,0,0,1,0.1,0,0
Meerut,0,0,0,0,0,0,0,0,0,0
Mumbai,2,0,2,0,0,0,247,1.3,0,0
Nagpur,0,0,0,0,0,0,41,1.6,0,0
Nasik,1,0.1,0,0,1,0.1,15,1,0,0
Patna,0,0,0,0,0,0,75,3.7,0,0
Pune,2,0,2,0,0,0,62,1.2,0,0
Raipur,3,0.3,3,0.3,0,0,11,1,0,0
Rajkot,1,0.1,1,0.1,0,0,17,1.2,0,0
Ranchi,0,0,0,0,0,0,46,4.1,0,0
Srinagar,0,0,0,0,0,0,0,0,0,0
Surat,0,0,0,0,0,0,9,0.2,0,0
Thiruvananthapuram,8,0.5,8,0.5,0,0,13,0.8,0,0
Thrissur,0,0,0,0,0,0,0,0,0,0
Tiruchirapalli,0,0,0,0,0,0,0,0,0,0
Vadodara,3,0.2,3,0.2,0,0,14,0.8,0,0
Varanasi,0,0,0,0,0,0,31,2.2,0,0
Vasai Virar,1,0.1,1,0.1,0,0,3,0.2,0,0
Vijayawada,2,0.1,2,0.1,0,0,34,2.3,0,0
Vishakhapatnam,0,0,0,0,0,0,8,0.5,0,0
