City,Causing Injuries under Rash Driving/ Road Rage,,Human Trafficking (under Sections 370 &370AIPC),,Unnatural Offences,,Other IPC Crimes,,Total Cognizable IPC Crimes (Column 3 To 264 Excluding Sub Heads),
Agra,300,17.2,0,0,2,0.1,778,44.6,6792,389
Ahmedabad,1756,27.6,2,0,3,0,7450,117.3,15286,240.6
Allahabad,231,19,0,0,0,0,1545,127,4694,385.7
Amritsar,76,6.4,0,0,4,0.3,467,39.4,1998,168.8
Asansol,223,17.9,0,0,0,0,1905,153.3,4540,365.2
Aurangabad,771,64.8,0,0,2,0.2,851,71.6,4821,405.5
Bengaluru,4315,50.8,12,0.1,4,0,5279,62.1,31892,375.2
Bhopal,2987,158.6,0,0,9,0.5,4286,227.6,12962,688.4
Chandigarh City,266,25.9,0,0,4,0.4,456,44.4,3064,298.6
Chennai,8527,98.1,0,0,0,0,3201,36.8,16861,193.9
Coimbatore,1315,61.1,0,0,0,0,1536,71.4,4281,199
Delhi (City),7871,48.2,12,0.1,170,1,19216,117.8,139707 142276,856.3
Dhanbad,98,8.2,0,0,0,0,867,72.6,1730,144.8
Durg-Bhilainagar,912,85.7,3,0.3,5,0.5,2442,229.5,5598,526.1
Faridabad,0,0,0,0,5,0.4,1709,121.6,6000,427
Ghaziabad,311,13.2,1,0,2,0.1,1679,71.2,6755,286.4
Gwalior,1389,126,1,0.1,6,0.5,4157,377.2,9369,850.2
Hyderabad,2254,29.1,5,0.1,7,0.1,5584,72.1,18940,244.4
Indore,4118,190,1,0,6,0.3,5322,245.6,19197,885.9
Jabalpur,1893,149.3,3,0.2,4,0.3,3817,301,8377,660.6
Jaipur,2245,73.1,0,0,5,0.2,6131,199.5,26070,848.4
Jamshedpur,147,11,0,0,3,0.2,1081,80.9,3340,249.8
Jodhpur,317,27.9,0,0,1,0.1,1582,139,5645,496
Kannur,471,28.7,0,0,0,0,672,40.9,1869,113.8
Kanpur,585,20,0,0,0,0,1426,48.8,5211,178.5
Kochi,13431,634.1,3,0.1,13,0.6,1530,72.2,17088,806.8
Kolkata,4316,30.6,13,0.1,0,0,10296,73,26161,185.4
Kollam,1418,127.7,0,0,4,0.4,5954,536.4,9314,839.1
Kota,649,64.8,2,0.2,1,0.1,1326,132.5,5248,524.3
Kozhikode,1982,97.6,0,0,7,0.3,1054,51.9,4665,229.7
Lucknow,314,10.8,0,0,1,0,5627,194,12742,439.2
Ludhiana,0,0,0,0,10,0.6,983,60.9,3546,219.7
Madurai,585,40,0,0,0,0,1155,79,3226,220.7
Malappuram,1298,76.4,0,0,0,0,384,22.6,2373,139.7
Meerut,411,28.8,0,0,0,0,810,56.8,6141,430.9
Mumbai,4129,22.4,84,0.5,24,0.1,9140,49.6,40361,219.2
Nagpur,1096,43.9,1,0,5,0.2,2339,93.6,10359,414.7
Nasik,489,31.3,0,0,1,0.1,930,59.5,3883,248.4
Patna,0,0,0,0,0,0,5050,246.7,15396,752.1
Pune,1299,25.7,0,0,10,0.2,2065,40.9,14468,286.5
Raipur,1173,104.5,0,0,5,0.4,1848,164.6,5975,532.1
Rajkot,626,45,0,0,1,0.1,807,58,3516,252.8
Ranchi,214,19,16,1.4,0,0,687,61,4351,386.1
Srinagar,323,25.4,0,0,3,0.2,794,62.4,2533,199
Surat,656,14.3,0,0,2,0,116,2.5,4397,95.9
Thiruvananthapuram,8816,522.6,0,0,9,0.5,1692,100.3,12504,741.2
Thrissur,3233,174.3,1,0.1,2,0.1,1918,103.4,6548,353
Tiruchirapalli,541,52.9,0,0,0,0,1772,173.4,3074,300.8
Vadodara,2946,162.1,0,0,1,0.1,6592,362.8,12651,696.3
Varanasi,0,0,0,0,0,0,727,50.7,2589,180.4
Vasai Virar,128,10.5,0,0,1,0.1,335,27.4,2927,239.7
Vijayawada,1366,91.6,1,0.1,0,0,1835,123.1,7876,528.2
Vishakhapatnam,1831,105.8,0,0,0,0,2202,127.3,7728,446.7
