city,year,crime,incidences,rate
AGRA,2010,Murder (Sec. 302 IPC),58,4.4
AGRA,2010,Attempt To Commit Murder (Sec. 307 IPC),61,4.6
AGRA,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",26,2
AHMEDABAD,2010,Murder (Sec. 302 IPC),82,1.8
AHMEDABAD,2010,Attempt To Commit Murder (Sec. 307 IPC),66,1.5
AHMEDABAD,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",4,0.1
ALLAHABAD,2010,Murder (Sec. 302 IPC),44,4.2
ALLAHABAD,2010,Attempt To Commit Murder (Sec. 307 IPC),47,4.5
ALLAHABAD,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",4,0.4
AMRITSAR,2010,Murder (Sec. 302 IPC),53,5.2
AMRITSAR,2010,Attempt To Commit Murder (Sec. 307 IPC),71,7
AMRITSAR,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",7,0.7
ASANSOL,2010,Murder (Sec. 302 IPC),34,3.1
ASANSOL,2010,Attempt To Commit Murder (Sec. 307 IPC),8,0.7
ASANSOL,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",14,1.3
BENGALURU,2010,Murder (Sec. 302 IPC),266,4.7
BENGALURU,2010,Attempt To Commit Murder (Sec. 307 IPC),445,7.8
BENGALURU,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",5,0.1
BHOPAL,2010,Murder (Sec. 302 IPC),49,3.4
BHOPAL,2010,Attempt To Commit Murder (Sec. 307 IPC),59,4.1
BHOPAL,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",3,0.2
CHENNAI,2010,Murder (Sec. 302 IPC),103,1.6
CHENNAI,2010,Attempt To Commit Murder (Sec. 307 IPC),158,2.5
CHENNAI,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",2,0
COIMBATORE,2010,Murder (Sec. 302 IPC),22,1.5
COIMBATORE,2010,Attempt To Commit Murder (Sec. 307 IPC),27,1.9
